date,value,cash,shares,position_pct,regime,danger,drawdown,price
2020-01-02,100000.00,264.91,307,0.9974,10,1,0.00,324.87
2020-01-03,99244.78,264.91,307,0.9973,10,1,-0.76,322.41
2020-01-06,99622.39,264.91,307,0.9973,10,1,-0.38,323.64
2020-01-07,99343.02,264.91,307,0.9973,9.47,1,-0.66,322.73
2020-01-08,99871.06,264.91,307,0.9973,10,1,-0.13,324.45
2020-01-09,100546.46,264.91,307,0.9974,10,1,0.00,326.65
2020-01-10,100257.88,264.91,307,0.9974,10,1,-0.29,325.71
2020-01-13,100945.56,264.91,307,0.9974,10,1,0.00,327.95
2020-01-14,100792.06,264.91,307,0.9974,10,1,-0.15,327.45
2020-01-15,101019.24,264.91,307,0.9974,10,1,0.00,328.19
2020-01-16,101857.35,264.91,307,0.9974,10,0,0.00,330.92
2020-01-17,102173.56,264.91,307,0.9974,10,0,0.00,331.95
2020-01-21,101974.01,264.91,307,0.9974,10,1,-0.20,331.30
2020-01-22,101986.29,264.91,307,0.9974,10,1,-0.18,331.34
2020-01-23,102102.95,264.91,307,0.9974,10,1,-0.07,331.72
2020-01-24,101197.30,264.91,307,0.9974,10,1,-0.96,328.77
2020-01-27,99579.41,264.91,307,0.9973,8.72,1,-2.54,323.50
2020-01-28,100620.14,264.91,307,0.9974,9.79,1,-1.52,326.89
2020-01-29,100537.25,264.91,307,0.9974,9.79,1,-1.60,326.62
2020-01-30,100862.67,264.91,307,0.9974,9.79,1,-1.28,327.68
2020-01-31,99036.02,264.91,307,0.9973,7.66,1,-3.07,321.73
2020-02-03,99769.75,264.91,307,0.9973,8.72,1,-2.35,324.12
2020-02-04,101286.33,264.91,307,0.9974,9.79,1,-0.87,329.06
2020-02-05,102452.93,264.91,307,0.9974,9.79,1,0.00,332.86
2020-02-06,102796.77,264.91,307,0.9974,10,1,0.00,333.98
2020-02-07,102250.31,264.91,307,0.9974,9.79,1,-0.53,332.20
2020-02-10,103011.67,264.91,307,0.9974,9.79,1,0.00,334.68
2020-02-11,103189.73,264.91,307,0.9974,9.79,1,0.00,335.26
2020-02-12,103852.85,264.91,307,0.9974,10,0,0.00,337.42
2020-02-13,103742.33,264.91,307,0.9974,10,1,-0.11,337.06
2020-02-14,103908.11,264.91,307,0.9975,10,1,0.00,337.60
2020-02-18,103641.02,264.91,307,0.9974,10,1,-0.26,336.73
2020-02-19,104135.29,264.91,307,0.9975,10,1,0.00,338.34
2020-02-20,103708.56,264.91,307,0.9974,9.79,1,-0.41,336.95
2020-02-21,102643.27,264.91,307,0.9974,9.26,1,-1.43,333.48
2020-02-24,99247.85,264.91,307,0.9973,6.6,2,-4.69,322.42
2020-02-25,96248.46,264.91,307,0.9972,7.13,3,-7.57,312.65
2020-02-26,95895.41,264.91,307,0.9972,6.6,3,-7.91,311.50
2020-02-27,91600.48,264.91,307,0.9971,6.28,4,-12.04,297.51
2020-02-28,91216.73,264.91,307,0.9971,6.81,4,-12.41,296.26
2020-03-02,95155.54,264.91,307,0.9972,7.34,1,-8.62,309.09
2020-03-03,92438.59,264.91,307,0.9971,6.28,2,-11.23,300.24
2020-03-04,96312.93,264.91,307,0.9972,7.34,1,-7.51,312.86
2020-03-05,93120.13,264.91,307,0.9972,6.28,2,-10.58,302.46
2020-03-06,91585.13,264.91,307,0.9971,6.28,3,-12.05,297.46
2020-03-09,84453.52,63612.04,76,0.2468,5.96,3,-18.90,274.23
2020-03-10,85531.96,63612.04,76,0.2563,7.02,2,-17.86,288.42
2020-03-11,84463.40,63612.04,76,0.2469,5.96,3,-18.89,274.36
2020-03-12,82468.40,63612.04,76,0.2286,5.96,3,-20.81,248.11
2020-03-13,84080.36,63612.04,76,0.2434,5.74,2,-19.26,269.32
2020-03-16,81840.64,63612.04,76,0.2227,5.74,3,-21.41,239.85
2020-03-17,82824.84,63612.04,76,0.2320,5.74,2,-20.46,252.80
2020-03-18,81852.04,63612.04,76,0.2228,5.74,2,-21.40,240.00
2020-03-19,81890.80,63612.04,76,0.2232,5.74,2,-21.36,240.51
2020-03-20,81000.84,60866.44,88,0.2486,5.74,2,-22.22,228.80
2020-03-23,80486.04,60866.44,88,0.2438,5.74,2,-22.71,222.95
2020-03-24,82263.64,60866.44,88,0.2601,4.47,2,-21.00,243.15
2020-03-25,82583.96,60866.44,88,0.2630,5.53,2,-20.70,246.79
2020-03-26,83852.04,60866.44,88,0.2741,5.53,1,-19.48,261.20
2020-03-27,83167.40,60866.44,88,0.2681,5.32,1,-20.14,253.42
2020-03-30,83891.64,60866.44,88,0.2745,6.06,1,-19.44,261.65
2020-03-31,83548.44,60866.44,88,0.2715,5.85,1,-19.77,257.75
2020-04-01,82527.64,60866.44,88,0.2625,6.91,2,-20.75,246.15
2020-04-02,83027.48,60866.44,88,0.2669,7.13,1,-20.27,251.83
2020-04-03,82707.16,60866.44,88,0.2641,7.13,1,-20.58,248.19
2020-04-06,84174.12,60866.44,88,0.2769,8.4,1,-19.17,264.86
2020-04-07,84197.88,60866.44,88,0.2771,8.62,1,-19.15,265.13
2020-04-08,84981.08,60866.44,88,0.2838,8.62,0,-18.39,274.03
2020-04-09,85348.04,60866.44,88,0.2868,8.62,0,-18.04,278.20
2020-04-13,85124.52,60866.44,88,0.2850,8.62,1,-18.26,275.66
2020-04-14,85839.96,60866.44,88,0.2909,8.62,0,-17.57,283.79
2020-04-15,85309.32,60866.44,88,0.2865,8.62,1,-18.08,277.76
2020-04-16,85427.24,60866.44,88,0.2875,8.62,1,-17.97,279.10
2020-04-17,86090.76,60866.44,88,0.2930,8.62,1,-17.33,286.64
2020-04-20,85646.36,60866.44,88,0.2893,8.62,2,-17.75,281.59
2020-04-21,84893.96,60866.44,88,0.2830,8.62,2,-18.48,273.04
2020-04-22,85427.24,60866.44,88,0.2875,8.94,0,-17.97,279.10
2020-04-23,85425.48,60866.44,88,0.2875,8.94,0,-17.97,279.08
2020-04-24,85767.80,60866.44,88,0.2903,8.94,0,-17.64,282.97
2020-04-27,86126.84,60866.44,88,0.2933,8.94,1,-17.29,287.05
2020-04-28,86010.68,60866.44,88,0.2923,8.94,1,-17.40,285.73
2020-04-29,86668.92,60866.44,88,0.2977,8.94,2,-16.77,293.21
2020-04-30,86428.68,60866.44,88,0.2958,8.94,1,-17.00,290.48
2020-05-01,85751.96,60866.44,88,0.2902,8.94,2,-17.65,282.79
2020-05-04,85820.60,60866.44,88,0.2908,7.98,2,-17.59,283.57
2020-05-05,86051.16,60866.44,88,0.2927,8.19,0,-17.37,286.19
2020-05-06,85880.44,60866.44,88,0.2913,8.19,1,-17.53,284.25
2020-05-07,86182.28,60866.44,88,0.2937,7.98,0,-17.24,287.68
2020-05-08,86601.16,60866.44,88,0.2972,8.3,1,-16.84,292.44
2020-05-11,86606.44,60866.44,88,0.2972,8.72,1,-16.83,292.50
2020-05-12,86093.40,60866.44,88,0.2930,8.4,1,-17.33,286.67
2020-05-13,85647.24,60866.44,88,0.2893,7.13,2,-17.75,281.60
2020-05-14,85943.80,60866.44,88,0.2918,8.19,1,-17.47,284.97
2020-05-15,86059.08,60866.44,88,0.2927,8.4,1,-17.36,286.28
2020-05-18,86826.44,60866.44,88,0.2990,8.51,0,-16.62,295.00
2020-05-19,86559.80,60866.44,88,0.2968,8.19,0,-16.88,291.97
2020-05-20,86996.28,60866.44,88,0.3004,8.51,0,-16.46,296.93
2020-05-21,86815.88,60866.44,88,0.2989,8.51,0,-16.63,294.88
2020-05-22,86865.16,60866.44,88,0.2993,8.51,0,-16.58,295.44
2020-05-26,87185.48,60866.44,88,0.3019,8.51,0,-16.28,299.08
2020-05-27,87577.08,60866.44,88,0.3050,8.51,0,-15.90,303.53
2020-05-28,87527.80,60866.44,88,0.3046,8.72,1,-15.95,302.97
2020-05-29,87646.60,60866.44,88,0.3055,8.51,0,-15.83,304.32
2020-06-01,87754.84,60866.44,88,0.3064,9.26,1,-15.73,305.55
2020-06-02,87977.48,60866.44,88,0.3082,9.26,0,-15.52,308.08
2020-06-03,88338.28,60866.44,88,0.3110,8.72,0,-15.17,312.18
2020-06-04,88266.12,60866.44,88,0.3104,9.26,0,-15.24,311.36
2020-06-05,88968.36,60866.44,88,0.3159,9.47,1,-14.56,319.34
2020-06-08,89308.04,60866.44,88,0.3185,9.26,0,-14.24,323.20
2020-06-09,89095.96,60866.44,88,0.3168,9.26,1,-14.44,320.79
2020-06-10,88938.44,60866.44,88,0.3156,9.26,1,-14.59,319.00
2020-06-11,87320.12,60866.44,88,0.3030,7.87,2,-16.15,300.61
2020-06-12,87636.92,60866.44,88,0.3055,8.94,1,-15.84,304.21
2020-06-15,87886.84,60866.44,88,0.3074,8.94,1,-15.60,307.05
2020-06-16,88406.92,60866.44,88,0.3115,8.94,0,-15.10,312.96
2020-06-17,88292.52,60866.44,88,0.3106,8.94,1,-15.21,311.66
2020-06-18,88303.08,60866.44,88,0.3107,8.94,1,-15.20,311.78
2020-06-19,88026.76,60866.44,88,0.3085,8.94,1,-15.47,308.64
2020-06-22,88201.00,60866.44,88,0.3099,8.94,1,-15.30,310.62
2020-06-23,88326.84,60866.44,88,0.3109,8.94,1,-15.18,312.05
2020-06-24,87626.36,60866.44,88,0.3054,7.87,2,-15.85,304.09
2020-06-25,87913.24,60866.44,88,0.3077,7.87,1,-15.58,307.35
2020-06-26,87270.84,60866.44,88,0.3026,6.81,1,-16.19,300.05
2020-06-29,87658.92,60866.44,88,0.3056,7.87,1,-15.82,304.46
2020-06-30,88002.12,60866.44,88,0.3084,7.87,1,-15.49,308.36
2020-07-01,88192.20,60866.44,88,0.3098,9.26,1,-15.31,310.52
2020-07-02,88342.68,60866.44,88,0.3110,9.26,1,-15.17,312.23
2020-07-06,88766.84,60866.44,88,0.3143,9.26,0,-14.76,317.05
2020-07-07,88479.08,60866.44,88,0.3121,9.26,1,-15.03,313.78
2020-07-08,88690.28,60866.44,88,0.3137,9.26,0,-14.83,316.18
2020-07-09,88531.88,60866.44,88,0.3125,9.26,2,-14.98,314.38
2020-07-10,88814.36,60866.44,88,0.3147,9.26,0,-14.71,317.59
2020-07-13,88572.36,60866.44,88,0.3128,8.94,2,-14.94,314.84
2020-07-14,88931.40,60866.44,88,0.3156,9.26,0,-14.60,318.92
2020-07-15,89189.24,60866.44,88,0.3176,9.26,0,-14.35,321.85
2020-07-16,89095.96,60866.44,88,0.3168,9.26,0,-14.44,320.79
2020-07-17,89177.80,60866.44,88,0.3175,9.26,0,-14.36,321.72
2020-07-20,89406.60,60866.44,88,0.3192,9.47,0,-14.14,324.32
2020-07-21,89467.32,60866.44,88,0.3197,9.47,0,-14.09,325.01
2020-07-22,89630.12,60866.44,88,0.3209,9.47,0,-13.93,326.86
2020-07-23,89286.92,60866.44,88,0.3183,9.26,1,-14.26,322.96
2020-07-24,89103.88,60866.44,88,0.3169,9.26,2,-14.43,320.88
2020-07-27,89309.80,60866.44,88,0.3185,9.47,1,-14.24,323.22
2020-07-28,89129.40,60866.44,88,0.3171,9.26,2,-14.41,321.17
2020-07-29,89477.00,60866.44,88,0.3198,9.47,1,-14.08,325.12
2020-07-30,89374.92,60866.44,88,0.3190,9.47,1,-14.17,323.96
2020-07-31,89600.20,60866.44,88,0.3207,9.47,1,-13.96,326.52
2020-08-03,89799.96,60866.44,88,0.3222,9.47,0,-13.77,328.79
2020-08-04,89911.72,60866.44,88,0.3230,9.47,0,-13.66,330.06
2020-08-05,90092.12,60866.44,88,0.3244,9.47,0,-13.49,332.11
2020-08-06,90287.48,60866.44,88,0.3259,9.47,0,-13.30,334.33
2020-08-07,90308.60,60866.44,88,0.3260,9.47,0,-13.28,334.57
2020-08-10,90396.60,60866.44,88,0.3267,9.47,0,-13.19,335.57
2020-08-11,90152.84,60866.44,88,0.3249,9.47,1,-13.43,332.80
2020-08-12,90561.16,60866.44,88,0.3279,9.47,0,-13.04,337.44
2020-08-13,90507.48,60866.44,88,0.3275,9.47,0,-13.09,336.83
2020-08-14,90508.36,60866.44,88,0.3275,9.47,0,-13.09,336.84
2020-08-17,90602.52,60866.44,88,0.3282,9.47,0,-13.00,337.91
2020-08-18,90666.76,60866.44,88,0.3287,8.94,0,-12.93,338.64
2020-08-19,90542.68,60866.44,88,0.3278,8.94,1,-13.05,337.23
2020-08-20,90635.08,60866.44,88,0.3284,8.94,1,-12.96,338.28
2020-08-21,90740.68,60866.44,88,0.3292,9.47,1,-12.86,339.48
2020-08-24,91043.40,60866.44,88,0.3315,9.47,0,-12.57,342.92
2020-08-25,91149.00,60866.44,88,0.3322,9.47,0,-12.47,344.12
2020-08-26,91452.60,60866.44,88,0.3344,9.47,0,-12.18,347.57
2020-08-27,91519.48,60866.44,88,0.3349,9.47,0,-12.11,348.33
2020-08-28,91717.48,60866.44,88,0.3364,9.47,0,-11.92,350.58
2020-08-31,91605.72,60866.44,88,0.3356,9.26,1,-12.03,349.31
2020-09-01,91895.24,60866.44,88,0.3377,9.26,1,-11.75,352.60
2020-09-02,92344.04,60866.44,88,0.3409,9.26,1,-11.32,357.70
2020-09-03,91260.76,60866.44,88,0.3330,8.94,2,-12.36,345.39
2020-09-04,91012.60,60866.44,88,0.3312,7.87,2,-12.60,342.57
2020-09-08,90188.92,60866.44,88,0.3251,6.81,2,-13.39,333.21
2020-09-09,90767.96,60866.44,88,0.3294,8.19,2,-12.84,339.79
2020-09-10,90248.76,60866.44,88,0.3256,7.13,2,-13.34,333.89
2020-09-11,90263.72,60866.44,88,0.3257,7.13,2,-13.32,334.06
2020-09-14,90650.92,60866.44,88,0.3286,8.19,2,-12.95,338.46
2020-09-15,90801.40,60866.44,88,0.3297,8.19,2,-12.80,340.17
2020-09-16,90682.60,60866.44,88,0.3288,8.19,2,-12.92,338.82
2020-09-17,90420.36,60866.44,88,0.3269,8.19,2,-13.17,335.84
2020-09-18,89963.64,60866.44,88,0.3234,6.6,2,-13.61,330.65
2020-09-21,89639.80,60866.44,88,0.3210,6.6,3,-13.92,326.97
2020-09-22,89932.84,60866.44,88,0.3232,7.66,2,-13.64,330.30
2020-09-23,89258.76,60866.44,88,0.3181,7.13,2,-14.29,322.64
2020-09-24,89334.44,60866.44,88,0.3187,6.6,2,-14.21,323.50
2020-09-25,89794.68,60866.44,88,0.3222,7.66,1,-13.77,328.73
2020-09-28,90275.16,60866.44,88,0.3258,7.66,1,-13.31,334.19
2020-09-29,90115.00,60866.44,88,0.3246,7.66,1,-13.46,332.37
2020-09-30,90336.76,60866.44,88,0.3262,7.66,1,-13.25,334.89
2020-10-01,90525.96,60866.44,88,0.3276,8.72,1,-13.07,337.04
2020-10-02,90244.36,60866.44,88,0.3255,8.72,2,-13.34,333.84
2020-10-05,90765.32,60866.44,88,0.3294,7.45,2,-12.84,339.76
2020-10-06,90340.28,60866.44,88,0.3263,7.45,2,-13.25,334.93
2020-10-07,90853.32,60866.44,88,0.3301,7.45,2,-12.75,340.76
2020-10-08,91119.08,60866.44,88,0.3320,7.45,0,-12.50,343.78
2020-10-09,91389.24,60866.44,88,0.3340,7.45,0,-12.24,346.85
2020-10-12,91880.28,60866.44,88,0.3375,7.45,0,-11.77,352.43
2020-10-13,91677.88,60866.44,88,0.3361,7.45,0,-11.96,350.13
2020-10-14,91484.28,60866.44,88,0.3347,7.45,0,-12.15,347.93
2020-10-15,91446.44,60866.44,88,0.3344,7.98,2,-12.18,347.50
2020-10-16,91427.96,60866.44,88,0.3343,7.98,2,-12.20,347.29
2020-10-19,90963.32,60866.44,88,0.3309,9.26,2,-12.65,342.01
2020-10-20,91083.88,60866.44,88,0.3318,9.26,2,-12.53,343.38
2020-10-21,91026.68,60866.44,88,0.3313,9.26,2,-12.59,342.73
2020-10-22,91192.12,60866.44,88,0.3325,9.26,2,-12.43,344.61
2020-10-23,91295.08,60866.44,88,0.3333,9.26,1,-12.33,345.78
2020-10-26,90732.76,60866.44,88,0.3292,7.87,2,-12.87,339.39
