date,value,regime,price,position_pct,danger,rsi
2020-01-02,1000000.00,10.0,324.87,1.0000,1.0,50.0
2020-01-03,992428.12,10.0,322.41,1.0000,1.0,50.0
2020-01-06,996214.06,10.0,323.64,1.0000,1.0,50.0
2020-01-07,993413.08,9.47,322.73,1.0000,1.0,50.0
2020-01-08,998707.24,10.0,324.45,1.0000,1.0,50.0
2020-01-09,1005478.84,10.0,326.65,1.0000,1.0,50.0
2020-01-10,1002585.52,10.0,325.71,1.0000,1.0,50.0
2020-01-13,1009480.24,10.0,327.95,1.0000,1.0,50.0
2020-01-14,1007941.24,10.0,327.45,1.0000,1.0,50.0
2020-01-15,1010218.96,10.0,328.19,1.0000,1.0,50.0
2020-01-16,1018621.90,10.0,330.92,1.0000,0.0,50.0
2020-01-17,1021792.24,10.0,331.95,1.0000,0.0,50.0
2020-01-21,1019791.54,10.0,331.30,1.0000,1.0,50.0
2020-01-22,1019914.66,10.0,331.34,1.0000,1.0,50.0
2020-01-23,1021084.30,10.0,331.72,1.0000,1.0,50.0
2020-01-24,1012004.20,10.0,328.77,1.0000,1.0,50.0
2020-01-27,995783.14,8.72,323.50,1.0000,1.0,50.0
2020-01-28,1006217.56,9.79,326.89,1.0000,1.0,50.0
2020-01-29,1005386.50,9.79,326.62,1.0000,1.0,50.0
2020-01-30,1008649.18,9.79,327.68,1.0000,1.0,50.0
2020-01-31,990335.08,7.66,321.73,1.0000,1.0,42.7
2020-02-03,997691.50,8.72,324.12,1.0000,1.0,43.0
2020-02-04,1012896.82,9.79,329.06,1.0000,1.0,52.5
2020-02-05,1024593.22,9.79,332.86,1.0000,1.0,56.7
2020-02-06,1028040.58,10.0,333.98,1.0000,1.0,54.6
2020-02-07,1022561.74,9.79,332.20,1.0000,1.0,50.4
2020-02-10,1030195.18,9.79,334.68,1.0000,1.0,54.7
2020-02-11,1031980.42,9.79,335.26,1.0000,1.0,55.4
2020-02-12,1038628.90,10.0,337.42,1.0000,0.0,57.5
2020-02-13,1037520.82,10.0,337.06,1.0000,1.0,61.7
2020-02-14,1039182.94,10.0,337.60,1.0000,1.0,72.9
2020-02-18,1036505.08,10.0,336.73,1.0000,1.0,67.4
2020-02-19,1041460.66,10.0,338.34,1.0000,1.0,69.8
2020-02-20,1037182.24,9.79,336.95,1.0000,1.0,65.5
2020-02-21,1026501.58,9.26,333.48,1.0000,1.0,71.4
2020-02-24,992458.90,6.6,322.42,1.0000,2.0,47.6
2020-02-25,962386.84,7.13,312.65,1.0000,3.0,30.0
2020-02-26,958847.14,6.6,311.50,1.0000,3.0,22.1
2020-02-27,915785.92,6.28,297.51,1.0000,4.0,14.4
2020-02-28,911938.42,6.81,296.26,1.0000,4.0,14.5
2020-03-02,951429.16,7.34,309.09,1.0000,1.0,29.0
2020-03-03,924188.86,6.28,300.24,1.0000,2.0,24.7
2020-03-04,963033.22,7.34,312.86,1.0000,1.0,34.6
2020-03-05,931022.02,6.28,302.46,1.0000,2.0,30.7
2020-03-06,915632.02,6.28,297.46,1.0000,3.0,28.7
2020-03-09,688260.16,5.96,274.23,0.0000,3.0,23.2
2020-03-10,688260.16,7.02,288.42,0.0000,2.0,30.7
2020-03-11,688260.16,5.96,274.36,0.0000,3.0,27.9
2020-03-12,688260.16,5.96,248.11,0.0000,3.0,24.1
2020-03-13,688260.16,5.74,269.32,0.0000,2.0,34.8
2020-03-16,688260.16,5.74,239.85,0.0000,3.0,31.3
2020-03-17,688260.16,5.74,252.80,0.0000,2.0,35.8
2020-03-18,688260.16,5.74,240.00,0.0000,2.0,36.0
2020-03-19,688260.16,5.74,240.51,0.0000,2.0,36.4
2020-03-20,688260.16,5.74,228.80,0.0000,2.0,30.2
2020-03-23,688260.16,5.74,222.95,0.0000,2.0,30.7
