date,value,regime,price,position_pct,danger,rsi
2020-01-02,1000000.00,10.0,324.87,0.9999,1,50.0
2020-01-03,992428.12,10.0,322.41,0.9999,1,50.0
2020-01-06,996214.06,10.0,323.64,0.9999,1,50.0
2020-01-07,993413.08,9.47,322.73,0.9999,1,50.0
2020-01-08,998707.24,10.0,324.45,0.9999,1,50.0
2020-01-09,1005478.84,10.0,326.65,1.0000,1,50.0
2020-01-10,1002585.52,10.0,325.71,0.9999,1,50.0
2020-01-13,1009480.24,10.0,327.95,1.0000,1,50.0
2020-01-14,1007941.24,10.0,327.45,1.0000,1,50.0
2020-01-15,1010218.96,10.0,328.19,1.0000,1,50.0
2020-01-16,1018621.90,10.0,330.92,1.0000,0,50.0
2020-01-17,1021792.24,10.0,331.95,1.0000,0,50.0
2020-01-21,1019791.54,10.0,331.30,1.0000,1,50.0
2020-01-22,1019914.66,10.0,331.34,1.0000,1,50.0
2020-01-23,1021084.30,10.0,331.72,1.0000,1,50.0
2020-01-24,1012004.20,10.0,328.77,1.0000,1,50.0
2020-01-27,995783.14,8.72,323.50,0.9999,1,50.0
2020-01-28,1006217.56,9.79,326.89,1.0000,1,50.0
2020-01-29,1005386.50,9.79,326.62,1.0000,1,50.0
2020-01-30,1008649.18,9.79,327.68,1.0000,1,50.0
2020-01-31,990335.08,7.66,321.73,0.9999,1,42.7
2020-02-03,997691.50,8.72,324.12,0.9999,1,43.0
2020-02-04,1012896.82,9.79,329.06,1.0000,1,52.5
2020-02-05,1024593.22,9.79,332.86,1.0000,1,56.7
2020-02-06,1028040.58,10.0,333.98,1.0000,1,54.6
2020-02-07,1022561.74,9.79,332.20,1.0000,1,50.4
2020-02-10,1030195.18,9.79,334.68,1.0000,1,54.7
2020-02-11,1031980.42,9.79,335.26,1.0000,1,55.4
2020-02-12,1038628.90,10.0,337.42,1.0000,0,57.5
2020-02-13,1037520.82,10.0,337.06,1.0000,1,61.7
2020-02-14,1039182.94,10.0,337.60,1.0000,1,72.9
2020-02-18,1036505.08,10.0,336.73,1.0000,1,67.4
2020-02-19,1041460.66,10.0,338.34,1.0000,1,69.8
2020-02-20,1037182.24,9.79,336.95,1.0000,1,65.5
2020-02-21,1026501.58,9.26,333.48,1.0000,1,71.4
2020-02-24,992458.90,6.6,322.42,0.9999,2,47.6
2020-02-25,962386.84,7.13,312.65,0.9999,3,30.0
2020-02-26,958847.14,6.6,311.50,0.9999,3,22.1
2020-02-27,915785.92,6.28,297.51,0.9999,4,14.4
2020-02-28,911938.42,6.81,296.26,0.9999,4,14.5
2020-03-02,951429.16,7.34,309.09,0.9999,1,29.0
2020-03-03,924188.86,6.28,300.24,0.9999,2,24.7
2020-03-04,963033.22,7.34,312.86,0.9999,1,34.6
2020-03-05,931022.02,6.28,302.46,0.9999,2,30.7
2020-03-06,915632.02,6.28,297.46,0.9999,3,28.7
2020-03-09,844079.94,5.96,274.23,0.0000,3,23.2
2020-03-10,844079.94,7.02,288.42,0.0000,2,30.7
2020-03-11,844079.94,5.96,274.36,0.0000,3,27.9
2020-03-12,844079.94,5.96,248.11,0.0000,3,24.1
2020-03-13,844079.94,5.74,269.32,0.0000,2,34.8
2020-03-16,844079.94,5.74,239.85,0.0000,3,31.3
2020-03-17,844079.94,5.74,252.80,0.0000,2,35.8
2020-03-18,844079.94,5.74,240.00,0.0000,2,36.0
2020-03-19,844079.94,5.74,240.51,0.0000,2,36.4
2020-03-20,844079.94,5.74,228.80,0.0000,2,30.2
2020-03-23,844079.94,5.74,222.95,0.0000,2,30.7
2020-03-24,844079.94,4.47,243.15,0.0000,2,33.2
2020-03-25,844079.94,5.53,246.79,0.0000,2,36.2
2020-03-26,844079.94,5.53,261.20,0.0000,1,41.4
2020-03-27,844079.94,5.32,253.42,0.0000,1,44.7
2020-03-30,844079.94,6.06,261.65,0.9997,1,42.9
2020-03-31,831502.44,5.85,257.75,0.9997,1,45.4
2020-04-01,794092.44,6.91,246.15,0.9997,2,49.4
2020-04-02,812410.44,7.13,251.83,0.9997,1,44.1
2020-04-03,800671.44,7.13,248.19,0.9997,1,53.4
2020-04-06,854432.19,8.4,264.86,0.9997,1,54.8
2020-04-07,855302.94,8.62,265.13,0.9997,1,61.0
2020-04-08,884005.44,8.62,274.03,0.9997,0,63.7
2020-04-09,897453.69,8.62,278.20,0.9997,0,71.5
2020-04-13,889262.19,8.62,275.66,0.9997,1,73.6
2020-04-14,915481.44,8.62,283.79,0.9997,0,70.4
2020-04-15,896034.69,8.62,277.76,0.9997,1,65.2
2020-04-16,900356.19,8.62,279.10,0.9997,1,60.1
2020-04-17,924672.69,8.62,286.64,0.9997,1,68.7
2020-04-20,908386.44,8.62,281.59,0.9997,2,61.7
2020-04-21,880812.69,8.62,273.04,0.9997,2,58.5
2020-04-22,900356.19,8.94,279.10,0.9997,0,69.5
2020-04-23,900291.69,8.94,279.08,0.9997,0,67.3
2020-04-24,912836.94,8.94,282.97,0.9997,0,72.0
2020-04-27,925994.94,8.94,287.05,0.9997,1,66.7
2020-04-28,921737.94,8.94,285.73,0.9997,1,65.2
2020-04-29,945860.94,8.94,293.21,0.9997,2,64.5
2020-04-30,937056.69,8.94,290.48,0.9997,1,59.5
2020-05-01,912256.44,8.94,282.79,0.9997,2,55.1
2020-05-04,914771.94,7.98,283.57,0.9997,2,49.8
2020-05-05,923221.44,8.19,286.19,0.9997,0,57.1
2020-05-06,916964.94,8.19,284.25,0.9997,1,54.3
2020-05-07,928026.69,7.98,287.68,0.9997,0,50.9
2020-05-08,943377.69,8.3,292.44,0.9997,1,59.8
2020-05-11,943571.19,8.72,292.50,0.9997,1,70.8
2020-05-12,924769.44,8.4,286.67,0.9997,1,58.1
2020-05-13,908418.69,7.13,281.60,0.9997,2,52.4
2020-05-14,919286.94,8.19,284.97,0.9997,1,52.0
2020-05-15,923511.69,8.4,286.28,0.9997,1,49.2
2020-05-18,951633.69,8.51,295.00,0.9997,0,58.3
2020-05-19,941861.94,8.19,291.97,0.9997,0,48.8
2020-05-20,957857.94,8.51,296.93,0.9997,0,56.0
2020-05-21,951246.69,8.51,294.88,0.9997,0,62.6
2020-05-22,953052.69,8.51,295.44,0.9997,0,62.4
2020-05-26,964791.69,8.51,299.08,0.9997,0,63.2
2020-05-27,979142.94,8.51,303.53,0.9997,0,68.8
2020-05-28,977336.94,8.72,302.97,0.9997,1,65.8
2020-05-29,981690.69,8.51,304.32,0.9997,0,63.2
2020-06-01,985657.44,9.26,305.55,0.9997,1,64.1
2020-06-02,993816.69,9.26,308.08,0.9997,0,75.0
2020-06-03,1007039.19,8.72,312.18,0.9997,0,86.5
2020-06-04,1004394.69,9.26,311.36,0.9997,0,83.6
2020-06-05,1030130.19,9.47,319.34,0.9997,1,86.0
2020-06-08,1042578.69,9.26,323.20,0.9998,0,84.3
2020-06-09,1034806.44,9.26,320.79,0.9998,1,85.6
2020-06-10,1029033.69,9.26,319.00,0.9997,1,79.6
2020-06-11,969725.94,7.87,300.61,0.9997,2,55.3
2020-06-12,981335.94,8.94,304.21,0.9997,1,57.7
2020-06-15,990494.94,8.94,307.05,0.9997,1,57.1
2020-06-16,1009554.69,8.94,312.96,0.9997,0,58.2
2020-06-17,1005362.19,8.94,311.66,0.9997,1,57.5
2020-06-18,1005749.19,8.94,311.78,0.9997,1,56.6
2020-06-19,995622.69,8.94,308.64,0.9997,1,52.6
2020-06-22,1002008.19,8.94,310.62,0.9997,1,52.2
2020-06-23,1006619.94,8.94,312.05,0.9997,1,49.9
2020-06-24,980948.94,7.87,304.09,0.9997,2,44.2
2020-06-25,991462.44,7.87,307.35,0.9997,1,39.7
2020-06-26,967919.94,6.81,300.05,0.9997,1,31.2
2020-06-29,982142.19,7.87,304.46,0.9997,1,37.1
2020-06-30,994719.69,7.87,308.36,0.9997,1,41.9
2020-07-01,1001685.69,9.26,310.52,0.9997,1,60.0
2020-07-02,1007200.44,9.26,312.23,0.9997,1,58.5
2020-07-06,1022744.94,9.26,317.05,0.9997,0,60.1
2020-07-07,1012199.19,9.26,313.78,0.9997,1,50.9
2020-07-08,1019939.19,9.26,316.18,0.9997,0,54.7
2020-07-09,1014134.19,9.26,314.38,0.9997,2,52.6
