date,equity_lr,equity_bh
2024-06-03,1000000.0,1000000.0
2024-06-04,1000000.0,1001117.8476695719
2024-06-05,1000000.0,1013016.2940507769
2024-06-06,1000000.0,1012997.3474801062
2024-06-07,1000000.0,1011765.8203865101
2024-06-10,1000000.0,1014892.004547177
2024-06-11,1000000.0,1017336.1121636985
2024-06-12,1000000.0,1025691.549829481
2024-06-13,1000000.0,1027756.7260325883
2024-06-14,1000000.0,1028381.9628647215
2024-06-17,1000000.0,1036566.8813944678
2024-06-18,1000000.0,1039200.4547176963
2024-06-20,1000000.0,1036377.4156877607
2024-06-21,1000000.0,1031659.7195907542
2024-06-24,1000000.0,1028306.1765820388
2024-06-25,1000000.0,1032266.0098522169
2024-06-26,1000000.0,1033554.3766578251
2024-06-27,1000000.0,1035183.781735506
2024-06-28,1000000.0,1031110.2690413037
2024-07-01,1000000.0,1033232.2849564231
2024-07-02,1000000.0,1040185.676392573
2024-07-03,1000000.0,1044827.5862068968
2024-07-05,1000000.0,1050852.595680182
2024-07-08,1000000.0,1052065.1762031072
2024-07-09,1000000.0,1053088.2910193258
2024-07-10,1000000.0,1063508.9048882155
2024-07-11,1000000.0,1054338.7646835924
2024-07-12,1000000.0,1060989.010989011
2024-07-15,1000000.0,1063906.7828723001
2024-07-16,1000000.0,1070215.9909056462
2024-07-17,1000000.0,1055210.3069344452
2024-07-18,1000000.0,1047101.1746873817
2024-07-19,1000000.0,1040147.7832512317
2024-07-22,1000000.0,1050871.5422508528
2024-07-23,1000000.0,1049223.190602501
2024-07-24,1000000.0,1025445.2444107619
2024-07-25,1000000.0,1020102.3114816219
2024-07-26,1000000.0,1031527.0935960594
2024-07-29,1000000.0,1032133.3838575219
2024-07-30,1000000.0,1026904.1303524063
2024-07-31,1000000.0,1043596.0591133005
2024-08-01,1000000.0,1028817.733990148
2024-08-02,1000000.0,1009662.7510420615
2024-08-05,1000000.0,980257.6733611218
2024-08-06,1009219.5291661834,989295.1875710497
2024-08-07,1002474.0036336927,982682.8344069724
2024-08-08,1025648.459546175,1005399.772641152
2024-08-09,1030171.2474390197,1009833.2701780979
2024-08-12,1030712.4357338899,1010363.7741568777
2024-08-13,1047663.2262553636,1026979.9166350891
2024-08-14,1050968.34048475,1030219.7802197804
2024-08-15,1068982.1794425761,1047877.9840848809
2024-08-16,1071378.8704627159,1050227.3588480486
2024-08-19,1081622.7917584754,1060269.0413035243
2024-08-20,1079863.929800147,1058544.9033724898
2024-08-21,1083574.9352506862,1062182.6449412657
2024-08-22,1075070.547759867,1053846.153846154
2024-08-23,1086493.4864123082,1065043.5771125427
2024-08-26,1083903.513858286,1062504.7366426678
2024-08-27,1085391.7816691792,1063963.6225843122
2024-08-28,1079090.8036646177,1057787.0405456612
2024-08-29,1079187.4444315592,1057881.773399015
2024-08-30,1089489.350187483,1067980.2955665025
2024-09-03,1067068.692257142,1046002.2735884807
2024-09-04,1064884.6109242723,1043861.3111026906
2024-09-05,1062294.6383702501,1041322.4706328156
