date,close,regime_prob,shift_prob,label_regime,label_shift
2025-02-05,604.22,0.9853,0.6304,1,1
2025-02-06,606.32,1.0,0.0,1,1
2025-02-07,600.77,1.0,0.0,1,1
2025-02-10,604.85,1.0,0.0,1,1
2025-02-11,605.31,1.0,0.0,0,1
2025-02-12,603.36,0.9996,0.0,0,1
2025-02-13,609.73,0.9999,0.0,0,1
2025-02-14,609.7,0.9994,0.0004,0,1
2025-02-18,611.49,0.9925,0.0479,0,1
2025-02-19,612.93,1.0,0.0,0,1
2025-02-20,610.38,1.0,0.0,0,1
2025-02-21,599.94,1.0,0.0,0,1
2025-02-24,597.21,1.0,0.0,0,1
2025-02-25,594.24,0.9999,0.0,0,1
2025-02-26,594.54,1.0,0.0,0,1
2025-02-27,585.05,1.0,0.0,0,0
2025-02-28,594.18,0.8328,0.0004,0,0
2025-03-03,583.77,1.0,0.0,0,0
2025-03-04,576.86,1.0,0.0,0,0
2025-03-05,583.06,0.2472,0.0159,0,0
2025-03-06,572.71,1.0,0.0,0,0
2025-03-07,575.92,0.0069,0.0103,0,0
2025-03-10,560.58,1.0,0.0,0,0
2025-03-11,555.92,0.953,0.0016,0,0
2025-03-12,558.87,0.059,0.0155,0,0
2025-03-13,551.42,1.0,0.0,0,0
2025-03-14,562.81,0.0008,0.6966,0,0
2025-03-17,567.15,0.0663,0.9761,0,0
2025-03-18,561.02,1.0,0.0,0,0
2025-03-19,567.13,0.5622,0.2116,0,0
2025-03-20,565.49,0.9999,0.0,0,0
2025-03-21,563.98,0.9124,1.0,0,0
2025-03-24,574.08,0.923,1.0,0,0
2025-03-25,575.46,0.9816,0.0001,0,0
2025-03-26,568.59,1.0,0.0,0,0
2025-03-27,567.08,1.0,0.0,0,0
2025-03-28,555.66,1.0,0.0,0,1
2025-03-31,559.39,0.9945,0.0013,0,1
2025-04-01,560.97,0.0259,0.6923,0,1
2025-04-02,564.52,0.9987,0.0,0,1
2025-04-03,536.7,1.0,0.0,0,1
2025-04-04,505.28,1.0,0.0,0,1
2025-04-07,504.38,0.0358,0.0057,0,1
2025-04-08,496.48,1.0,0.0,0,1
2025-04-09,548.62,0.0055,0.9717,0,1
2025-04-10,524.58,0.9935,0.0006,0,1
2025-04-11,533.94,0.0548,1.0,1,1
2025-04-14,539.12,0.8736,1.0,1,1
2025-04-15,537.61,1.0,0.0,1,1
2025-04-16,525.66,1.0,0.0,1,1
2025-04-17,526.41,1.0,1.0,1,1
2025-04-21,513.88,1.0,0.0,1,1
2025-04-22,527.25,0.9999,0.9998,1,1
2025-04-23,535.42,1.0,0.0,1,1
2025-04-24,546.69,0.6005,0.6341,1,1
2025-04-25,550.64,0.5356,0.6874,1,1
2025-04-28,550.85,0.999,0.0,1,1
2025-04-29,554.32,0.9992,0.0001,1,0
2025-04-30,554.54,0.9841,0.0005,1,0
2025-05-01,558.47,1.0,0.0,1,0
2025-05-02,566.76,1.0,0.0,1,0
2025-05-05,563.51,1.0,0.0,1,0
2025-05-06,558.8,1.0,0.0,1,0
2025-05-07,561.15,0.9979,0.0,1,0
2025-05-08,565.06,1.0,0.0,1,0
2025-05-09,564.34,0.9999,0.0,1,0
2025-05-12,582.99,1.0,0.0,1,0
2025-05-13,586.84,1.0,0.0,1,0
2025-05-14,587.59,1.0,0.0,1,0
2025-05-15,590.46,1.0,0.0001,1,0
2025-05-16,594.2,1.0,0.0,1,0
2025-05-19,594.85,1.0,0.0,1,0
2025-05-20,592.85,1.0,0.0,1,0
2025-05-21,582.86,1.0,0.0,1,0
2025-05-22,583.09,1.0,0.0,1,0
2025-05-23,579.11,1.0,0.0,1,0
2025-05-27,591.15,0.944,0.0607,1,0
2025-05-28,587.73,1.0,0.0,1,0
2025-05-29,590.05,1.0,0.0,1,0
2025-05-30,589.39,0.9984,0.0178,1,0
2025-06-02,592.71,0.9379,0.091,1,0
2025-06-03,596.09,0.9957,0.0024,1,0
2025-06-04,595.93,1.0,0.0,1,0
2025-06-05,593.05,1.0,0.0,1,0
2025-06-06,599.14,0.9995,0.0001,1,0
2025-06-09,599.68,1.0,0.0,1,0
2025-06-10,603.08,1.0,0.0,1,0
2025-06-11,601.36,1.0,0.0,1,0
2025-06-12,603.75,1.0,0.0,1,0
2025-06-13,597.0,1.0,0.0,1,0
2025-06-16,602.68,1.0,0.0,1,0
2025-06-17,597.53,1.0,0.0,1,0
2025-06-18,597.44,1.0,0.0,1,0
2025-06-20,594.28,1.0,0.0,1,0
2025-06-23,600.15,0.9908,0.053,1,0
2025-06-24,606.78,1.0,0.0,1,0
2025-06-25,607.12,1.0,0.0,1,0
2025-06-26,611.87,1.0,0.0,1,0
2025-06-27,614.91,1.0,0.0,1,0
2025-06-30,617.85,1.0,0.0,1,0
2025-07-01,617.65,1.0,0.0,1,0
2025-07-02,620.45,1.0,0.0,1,0
2025-07-03,625.34,1.0,0.0,1,0
2025-07-07,620.68,1.0,0.0,1,0
2025-07-08,620.34,1.0,0.0,1,0
2025-07-09,624.06,1.0,0.0,1,0
2025-07-10,625.82,1.0,0.0,1,0
2025-07-11,623.62,1.0,0.0,1,0
2025-07-14,624.81,1.0,0.0,1,0
2025-07-15,622.14,1.0,0.0,1,0
2025-07-16,624.22,1.0,0.0,1,0
2025-07-17,628.04,0.9948,0.012,1,0
2025-07-18,627.58,1.0,0.0,1,0
2025-07-21,628.77,1.0,0.0,1,0
2025-07-22,628.86,0.9967,0.002,1,0
2025-07-23,634.21,0.9913,0.0068,1,0
2025-07-24,634.42,1.0,0.0,1,0
2025-07-25,637.1,0.7762,0.5826,1,0
2025-07-28,636.94,0.9767,0.0056,1,0
2025-07-29,635.26,1.0,0.0,1,0
2025-07-30,634.46,0.8545,0.2717,1,0
2025-07-31,632.08,1.0,0.0,1,0
2025-08-01,621.72,1.0,0.0,1,0
2025-08-04,631.17,0.9584,0.069,1,0
2025-08-05,627.97,1.0,0.0,1,0
2025-08-06,632.78,1.0,0.0,1,0
2025-08-07,632.25,1.0,0.0,1,0
2025-08-08,637.18,0.9995,0.9174,1,0
2025-08-11,635.92,1.0,0.0,1,0
2025-08-12,642.69,1.0,0.0119,1,0
2025-08-13,644.89,1.0,0.0,1,0
2025-08-14,644.95,1.0,0.0,1,0
2025-08-15,643.44,1.0,0.0,1,0
2025-08-18,643.3,0.997,0.0034,1,0
2025-08-19,639.81,1.0,0.0,1,0
2025-08-20,638.11,0.9995,0.0003,1,0
2025-08-21,635.55,1.0,0.0,1,0
2025-08-22,645.31,0.9139,0.6251,1,0
2025-08-25,642.47,1.0,0.0,1,0
2025-08-26,645.16,0.8485,0.5106,1,0
2025-08-27,646.63,1.0,0.0,1,0
2025-08-28,648.92,1.0,0.0,1,0
2025-08-29,645.05,1.0,0.0,1,0
2025-09-02,640.27,1.0,0.0,1,0
2025-09-03,643.74,0.7547,0.1667,1,0
2025-09-04,649.12,0.9986,0.0015,1,0
2025-09-05,647.24,1.0,0.0,1,0
2025-09-08,648.83,1.0,0.0,1,0
2025-09-09,650.33,1.0,0.0,1,0
2025-09-10,652.21,1.0,0.0,1,0
2025-09-11,657.63,1.0,0.0,1,0
2025-09-12,657.41,1.0,0.0,1,0
2025-09-15,660.91,1.0,0.0,1,0
2025-09-16,660.0,1.0,0.0,1,0
2025-09-17,659.18,1.0,0.0,1,0
2025-09-18,662.26,1.0,0.0,1,0
2025-09-19,663.7,1.0,0.0,1,0
2025-09-22,666.84,1.0,0.0,1,0
2025-09-23,663.21,1.0,0.0,1,0
2025-09-24,661.1,0.8627,0.1875,1,0
2025-09-25,658.05,1.0,0.0,1,0
2025-09-26,661.82,0.8505,0.3625,1,0
2025-09-29,663.68,1.0,0.0,1,0
2025-09-30,666.18,1.0,0.0,1,0
2025-10-01,668.45,1.0,0.0,1,0
2025-10-02,669.22,1.0,0.0,1,0
2025-10-03,669.21,1.0,0.0,1,0
2025-10-06,671.61,0.9999,0.0,1,0
2025-10-07,669.12,1.0,0.0,1,0
2025-10-08,673.11,0.9954,0.0,1,0
2025-10-09,671.16,1.0,0.0,1,0
2025-10-10,653.02,1.0,0.0,1,0
2025-10-13,663.04,0.9993,0.0,1,0
2025-10-14,662.23,1.0,0.0,1,0
2025-10-15,665.17,1.0,0.0,1,0
2025-10-16,660.64,1.0,0.0,1,0
2025-10-17,664.39,0.69,0.9939,1,1
2025-10-20,671.3,0.9999,0.995,1,1
2025-10-21,671.29,1.0,0.0,1,1
2025-10-22,667.8,1.0,0.0,1,1
2025-10-23,671.76,1.0,0.0,1,1
2025-10-24,677.25,1.0,0.0,1,1
2025-10-27,685.24,1.0,0.0,1,1
2025-10-28,687.06,1.0,0.0,1,1
2025-10-29,687.39,1.0,0.0,1,1
2025-10-30,679.83,1.0,0.0,1,1
2025-10-31,682.06,1.0,0.0,0,1
2025-11-03,683.34,1.0,0.0,0,1
2025-11-04,675.24,1.0,0.0,0,1
2025-11-05,677.58,1.0,0.0,0,1
2025-11-06,670.31,1.0,0.0,0,1
2025-11-07,670.97,0.4667,0.7187,0,1
2025-11-10,681.44,0.9991,0.2812,0,1
2025-11-11,683.0,1.0,0.0008,0,1
2025-11-12,683.38,1.0,0.0,0,1
2025-11-13,672.04,1.0,0.0,0,1
2025-11-14,671.93,0.9202,0.0017,0,1
2025-11-17,665.67,1.0,0.0,0,1
2025-11-18,660.08,1.0,0.0,1,1
2025-11-19,662.63,1.0,0.0,1,1
2025-11-20,652.53,1.0,0.0,1,1
2025-11-21,659.03,0.0147,0.0005,1,1
2025-11-24,668.73,0.0121,0.4489,1,1
2025-11-25,675.02,0.0666,0.6964,1,1
2025-11-26,679.68,0.9827,0.0002,1,1
2025-11-28,683.39,1.0,0.0,1,1
2025-12-01,680.27,1.0,0.0,1,1
2025-12-02,681.53,1.0,0.0,1,1
2025-12-03,683.89,1.0,0.0,1,1
2025-12-04,684.39,0.9998,0.0,1,0
2025-12-05,685.69,1.0,0.0,1,0
2025-12-08,683.63,1.0,0.0,1,0
2025-12-09,683.04,1.0,0.0,1,0
2025-12-10,687.57,0.9993,0.0,1,0
2025-12-11,689.17,0.9257,0.1725,1,0
2025-12-12,681.76,1.0,0.0,1,0
2025-12-15,680.73,1.0,0.0,1,0
2025-12-16,678.87,0.9999,0.0,1,0
2025-12-17,671.4,1.0,0.0,1,0
2025-12-18,676.47,1.0,0.0,1,0
2025-12-19,680.59,0.2299,0.9493,1,0
2025-12-22,684.83,0.9987,0.0046,1,0
2025-12-23,687.96,1.0,0.0,1,0
2025-12-24,690.38,1.0,0.0,1,0
2025-12-26,690.31,1.0,0.0,1,0
2025-12-29,687.85,1.0,0.0,1,0
2025-12-30,687.01,1.0,0.0,1,0
2025-12-31,681.92,1.0,0.0,1,0
2026-01-02,683.17,0.8538,0.0042,1,0
2026-01-05,687.72,1.0,0.0,1,0
2026-01-06,691.81,1.0,0.0,1,0
2026-01-07,689.58,1.0,0.0,1,0
2026-01-08,689.51,1.0,0.0,1,0
2026-01-09,694.07,0.9997,0.0001,1,0
2026-01-12,695.16,0.9997,0.0,1,1
2026-01-13,693.77,1.0,0.0,1,1
2026-01-14,690.36,1.0,0.0,1,1
2026-01-15,692.24,1.0,0.0,1,1
2026-01-16,691.66,1.0,0.0,1,1
2026-01-20,677.58,1.0,0.0,1,1
2026-01-21,685.4,0.7972,0.0468,1,1
2026-01-22,688.98,1.0,0.0,1,1
2026-01-23,689.23,1.0,0.0,1,1
2026-01-26,692.73,1.0,0.0,1,1
2026-01-27,695.49,1.0,0.0,0,1
2026-01-28,695.42,1.0,0.0,0,1
2026-01-29,694.04,1.0,0.0,0,1
2026-01-30,691.97,1.0,0.0,0,1
2026-02-02,695.41,0.9994,0.0,0,1
2026-02-03,689.53,1.0,0.0,0,1
2026-02-04,686.19,1.0,0.0,0,1
2026-02-05,677.62,1.0,0.0,0,1
2026-02-06,690.62,1.0,0.0,0,1
2026-02-09,693.95,1.0,0.0,0,1
2026-02-10,692.12,1.0,0.0,0,1
2026-02-11,691.96,1.0,0.0,0,0
2026-02-12,681.27,1.0,0.0,0,0
2026-02-13,681.75,1.0,0.0,0,0
2026-02-17,682.85,0.9988,0.0003,0,0
2026-02-18,686.29,1.0,0.0,0,0
2026-02-19,684.48,1.0,0.0,0,0
2026-02-20,689.43,1.0,0.0001,0,0
2026-02-23,682.39,1.0,0.0,0,0
2026-02-24,687.35,0.8227,0.0007,0,0
2026-02-25,693.15,0.9997,0.0031,0,0
2026-02-26,689.3,1.0,0.0,0,0
2026-02-27,685.99,1.0,0.0,0,0
2026-03-02,686.38,1.0,0.0,0,0
2026-03-03,680.33,1.0,0.0,0,0
2026-03-04,685.13,0.9977,0.0,0,0
2026-03-05,681.31,1.0,0.0,0,0
2026-03-06,672.38,1.0,0.0,0,0
2026-03-09,678.27,0.0517,0.0122,0,0
2026-03-10,677.18,1.0,0.0,0,0
2026-03-11,676.33,0.9995,0.0001,0,0
2026-03-12,666.06,1.0,0.0,0,1
2026-03-13,662.29,1.0,0.0,0,1
2026-03-16,669.03,0.1358,0.3137,0,1
2026-03-17,670.79,0.9992,0.0002,0,1
2026-03-18,661.43,1.0,0.0,0,1
2026-03-19,659.8,0.9996,0.0683,0,1
2026-03-20,648.57,1.0,0.0,0,1
2026-03-23,655.38,1.0,0.0,0,1
2026-03-24,653.18,1.0,0.0,0,1
2026-03-25,656.82,1.0,0.0,0,1
2026-03-26,645.09,1.0,0.0,1,1
2026-03-27,634.09,1.0,0.0,1,1
2026-03-30,631.97,1.0,0.0,1,1
2026-03-31,650.34,0.9928,0.9996,1,1
2026-04-01,655.24,1.0,0.0,1,1
2026-04-02,655.83,0.999,1.0,1,1
2026-04-06,658.93,1.0,0.0,1,1
2026-04-07,659.22,1.0,0.0,1,1
2026-04-08,676.01,1.0,0.0,1,1
2026-04-09,679.91,1.0,0.9704,1,1
2026-04-10,679.46,1.0,0.0,1,1
2026-04-13,686.1,1.0,0.0001,1,0
2026-04-14,694.46,1.0,0.0,1,0
2026-04-15,699.94,1.0,0.0,1,0
