date,close,prob_regime_bull,prob_regime_bear,prob_shift
2020-01-02,324.87,1.0,0.0,0.1372
2020-01-03,322.41,1.0,0.0,0.1429
2020-01-06,323.64,1.0,0.0,0.1832
2020-01-07,322.73,1.0,0.0,0.2142
2020-01-08,324.45,1.0,0.0,0.2425
2020-01-09,326.65,1.0,0.0,0.2954
2020-01-10,325.71,1.0,0.0,0.3436
2020-01-13,327.95,1.0,0.0,0.3559
2020-01-14,327.45,1.0,0.0,0.3608
2020-01-15,328.19,1.0,0.0,0.3352
2020-01-16,330.92,1.0,0.0,0.3051
2020-01-17,331.95,1.0,0.0,0.3128
2020-01-21,331.3,1.0,0.0,0.3175
2020-01-22,331.34,1.0,0.0,0.3268
2020-01-23,331.72,1.0,0.0,0.4328
2020-01-24,328.77,1.0,0.0,0.4047
2020-01-27,323.5,0.9985,0.0015,0.2911
2020-01-28,326.89,1.0,0.0,0.3936
2020-01-29,326.62,1.0,0.0,0.3835
2020-01-30,327.68,1.0,0.0,0.3989
2020-01-31,321.73,0.6183,0.3817,0.2996
2020-02-03,324.12,0.6235,0.3765,0.4006
2020-02-04,329.06,0.9207,0.0793,0.4212
2020-02-05,332.86,0.9859,0.0141,0.395
2020-02-06,333.98,0.9817,0.0183,0.3903
2020-02-07,332.2,0.9954,0.0046,0.413
2020-02-10,334.68,0.9831,0.0169,0.3862
2020-02-11,335.26,0.6925,0.3075,0.3931
2020-02-12,337.42,0.5942,0.4058,0.3759
2020-02-13,337.06,0.5767,0.4233,0.3846
2020-02-14,337.6,0.3975,0.6025,0.382
2020-02-18,336.73,0.2894,0.7106,0.4014
2020-02-19,338.34,0.2768,0.7232,0.3873
2020-02-20,336.95,0.1591,0.8409,0.4125
2020-02-21,333.48,0.1472,0.8528,0.4278
2020-02-24,322.42,0.0019,0.9981,0.2003
2020-02-25,312.65,0.0,1.0,0.2817
2020-02-26,311.5,0.0,1.0,0.2789
2020-02-27,297.51,0.0,1.0,0.1211
2020-02-28,296.26,0.0,1.0,0.1651
2020-03-02,309.09,0.0,1.0,0.2249
2020-03-03,300.24,0.0,1.0,0.2894
2020-03-04,312.86,0.0001,0.9999,0.2699
2020-03-05,302.46,0.0,1.0,0.2913
2020-03-06,297.46,0.0003,0.9997,0.2479
2020-03-09,274.23,0.0,1.0,0.1076
2020-03-10,288.42,0.0,1.0,0.1728
2020-03-11,274.36,0.0,1.0,0.1303
2020-03-12,248.11,0.0,1.0,0.0523
2020-03-13,269.32,0.0,1.0,0.0789
2020-03-16,239.85,0.0,1.0,0.0636
2020-03-17,252.8,0.0,1.0,0.0733
2020-03-18,240.0,0.0,1.0,0.1081
2020-03-19,240.51,0.0031,0.9969,0.0861
2020-03-20,228.8,0.0,1.0,0.0967
2020-03-23,222.95,0.0,1.0,0.095
2020-03-24,243.15,1.0,0.0,0.0817
2020-03-25,246.79,1.0,0.0,0.1322
2020-03-26,261.2,1.0,0.0,0.1048
2020-03-27,253.42,1.0,0.0,0.1473
2020-03-30,261.65,0.9837,0.0163,0.127
2020-03-31,257.75,1.0,0.0,0.183
2020-04-01,246.15,0.9998,0.0002,0.1823
2020-04-02,251.83,1.0,0.0,0.1371
2020-04-03,248.19,1.0,0.0,0.1921
2020-04-06,264.86,1.0,0.0,0.1222
2020-04-07,265.13,1.0,0.0,0.1648
2020-04-08,274.03,1.0,0.0,0.1408
2020-04-09,278.2,1.0,0.0,0.1842
2020-04-13,275.66,1.0,0.0,0.2174
2020-04-14,283.79,1.0,0.0,0.1613
2020-04-15,277.76,1.0,0.0,0.3207
