date,close,prob,equity
2025-06-02,592.71,0.2526,1000000.0
2025-06-03,596.09,0.2334,1002851.31
2025-06-04,595.93,0.2703,1002717.1
2025-06-05,593.05,0.1736,1000300.71
2025-06-06,599.14,0.2556,1005435.19
2025-06-09,599.68,0.3172,1005885.83
2025-06-10,603.08,0.1356,1005885.83
2025-06-11,601.36,0.1502,1003033.8
2025-06-12,603.75,0.0948,1005020.97
2025-06-13,597.0,0.2078,993840.84
2025-06-16,602.68,0.0802,998597.96
2025-06-17,597.53,0.2551,994284.73
2025-06-18,597.44,0.2108,994209.42
2025-06-20,594.28,0.1945,991564.8
2025-06-23,600.15,0.0609,996503.55
2025-06-24,606.78,0.1147,1002081.73
2025-06-25,607.12,0.0828,1002642.07
2025-06-26,611.87,0.048,1010465.89
2025-06-27,614.91,0.0369,1015434.26
2025-06-30,617.85,0.0256,1020215.45
2025-07-01,617.65,0.0632,1019891.75
2025-07-02,620.45,0.0569,1024425.06
2025-07-03,625.34,0.0527,1032306.44
2025-07-07,620.68,0.1008,1024854.49
2025-07-08,620.34,0.0828,1024306.7
2025-07-09,624.06,0.0477,1030303.42
2025-07-10,625.82,0.0388,1033123.66
2025-07-11,623.62,0.0996,1029608.27
2025-07-14,624.81,0.0536,1031516.48
2025-07-15,622.14,0.0507,1027243.18
2025-07-16,624.22,0.0111,1030586.48
2025-07-17,628.04,0.0247,1036706.12
2025-07-18,627.58,0.0453,1035973.68
2025-07-21,628.77,0.0444,1037869.86
2025-07-22,628.86,0.0448,1038012.99
2025-07-23,634.21,0.0258,1046520.45
2025-07-24,634.42,0.0307,1046851.57
2025-07-25,637.1,0.0318,1051075.9
2025-07-28,636.94,0.038,1050824.76
2025-07-29,635.26,0.0461,1048187.15
2025-07-30,634.46,0.0375,1046927.83
2025-07-31,632.08,0.0187,1043176.6
2025-08-01,621.72,0.0191,1026786.27
2025-08-04,631.17,0.0721,1041986.04
2025-08-05,627.97,0.2299,1036916.09
2025-08-06,632.78,0.1335,1040745.89
2025-08-07,632.25,0.1258,1039908.32
2025-08-08,637.18,0.0771,1047705.87
2025-08-11,635.92,0.093,1045728.41
2025-08-12,642.69,0.0728,1056374.4
2025-08-13,644.89,0.0666,1059797.51
2025-08-14,644.95,0.0581,1059890.55
2025-08-15,643.44,0.0644,1057549.28
2025-08-18,643.3,0.062,1057331.7
2025-08-19,639.81,0.0753,1051906.55
2025-08-20,638.11,0.0289,1049249.51
2025-08-21,635.55,0.2108,1045237.66
2025-08-22,645.31,0.0078,1052916.05
2025-08-25,642.47,0.139,1048515.07
2025-08-26,645.16,0.0465,1052702.03
2025-08-27,646.63,0.0529,1054980.54
2025-08-28,648.92,0.0553,1058521.98
2025-08-29,645.05,0.1018,1052558.22
2025-09-02,640.27,0.1065,1045147.94
2025-09-03,643.74,0.0909,1050567.53
2025-09-04,649.12,0.0553,1058924.94
2025-09-05,647.24,0.0461,1056028.71
2025-09-08,648.83,0.0575,1058485.3
2025-09-09,650.33,0.0619,1060797.15
2025-09-10,652.21,0.0328,1063687.99
2025-09-11,657.63,0.0348,1071998.2
2025-09-12,657.41,0.0575,1071663.66
2025-09-15,660.91,0.0518,1076987.59
2025-09-16,660.0,0.0965,1075610.7
2025-09-17,659.18,0.041,1074368.27
2025-09-18,662.26,0.0432,1079040.75
2025-09-19,663.7,0.0331,1081215.12
2025-09-22,666.84,0.0717,1085946.17
2025-09-23,663.21,0.082,1080502.59
2025-09-24,661.1,0.1789,1077321.09
2025-09-25,658.05,0.1143,1075014.33
2025-09-26,661.82,0.1155,1080743.38
2025-09-29,663.68,0.1267,1083553.81
2025-09-30,666.18,0.0615,1087320.68
2025-10-01,668.45,0.1002,1090728.17
2025-10-02,669.22,0.0846,1091880.09
