date,equity
2025-07-01,100000.0
2025-07-02,100000.0
2025-07-03,100787.29235839844
2025-07-07,100037.02685546875
2025-07-08,99982.29235839844
2025-07-09,100581.20764160156
2025-07-10,100864.56921386719
2025-07-11,100510.36724853516
2025-07-14,100701.95764160156
2025-07-15,100272.0903930664
2025-07-16,100606.9633178711
2025-07-17,101221.98449707031
2025-07-18,101147.93078613281
2025-07-21,101339.52117919922
2025-07-22,101354.00567626953
2025-07-23,102215.36157226562
2025-07-24,102249.16528320312
2025-07-25,102680.6441040039
2025-07-28,102654.88842773438
2025-07-29,102384.4096069336
2025-07-30,102255.61157226562
2025-07-31,101872.43078613281
2025-08-01,100204.4633178711
2025-08-04,101725.91528320312
2025-08-05,101210.7133178711
2025-08-06,101985.13275146484
2025-08-07,101899.79803466797
2025-08-08,102693.52685546875
2025-08-11,102490.66528320312
2025-08-12,103580.63842773438
2025-08-13,103934.8403930664
2025-08-14,103944.5
2025-08-15,103701.38842773438
2025-08-18,103678.84606933594
2025-08-19,103116.95764160156
2025-08-20,102843.25567626953
2025-08-21,102431.09606933594
2025-08-22,104002.45764160156
2025-08-25,103545.2133178711
2025-08-26,103978.3037109375
2025-08-27,104214.97882080078
2025-08-28,104583.66528320312
2025-08-29,103960.59606933594
2025-09-02,103191.02117919922
2025-09-03,103749.68646240234
2025-09-04,104615.86724853516
2025-09-05,104313.18646240234
2025-09-08,104569.18078613281
2025-09-09,104810.68078613281
2025-09-10,105113.36157226562
2025-09-11,105985.97882080078
2025-09-12,105950.5537109375
2025-09-15,106514.0537109375
2025-09-16,106367.54803466797
2025-09-17,106235.52685546875
2025-09-18,106731.4096069336
2025-09-19,106963.25
2025-09-22,107468.79235839844
2025-09-23,106884.36157226562
2025-09-24,106544.6441040039
2025-09-25,106053.59606933594
2025-09-26,106660.56921386719
2025-09-29,106960.02685546875
2025-09-30,107362.52685546875
2025-10-01,107728.0
2025-10-02,107851.9633178711
2025-10-03,107850.36157226562
2025-10-06,108236.75567626953
2025-10-07,107835.86724853516
2025-10-08,108478.25567626953
2025-10-09,108478.25567626953
2025-10-10,108478.25567626953
2025-10-13,110141.5687866211
2025-10-14,110007.10919189453
2025-10-15,110495.14959716797
2025-10-16,109743.17486572266
2025-10-17,110365.67486572266
2025-10-20,111512.73040771484
2025-10-21,111511.0687866211
2025-10-22,110931.73040771484
2025-10-23,111589.09405517578
2025-10-24,112500.43243408203
2025-10-27,113826.77081298828
2025-10-28,114128.8920288086
2025-10-29,114183.67486572266
2025-10-30,112928.7152709961
2025-10-31,113298.8920288086
2025-11-03,113511.37689208984
2025-11-04,112166.77081298828
2025-11-05,112555.2152709961
2025-11-06,111348.3920288086
2025-11-07,111457.94757080078
2025-11-10,113195.97283935547
2025-11-11,113454.93243408203
2025-11-12,113518.0132446289
2025-11-13,111635.5687866211
2025-11-14,111617.31121826172
2025-11-17,110578.14959716797
2025-11-18,109650.2152709961
2025-11-19,110073.5132446289
2025-11-20,108396.91729736328
2025-11-21,109475.91729736328
2025-11-24,111086.10919189453
2025-11-25,112130.25567626953
2025-11-26,112903.81121826172
2025-11-28,113519.67486572266
2025-12-01,113001.75567626953
2025-12-02,113001.75567626953
2025-12-03,113001.75567626953
2025-12-04,113001.75567626953
2025-12-05,113001.75567626953
2025-12-08,113001.75567626953
2025-12-09,113001.75567626953
2025-12-10,113001.75567626953
2025-12-11,113001.75567626953
2025-12-12,111793.93005371094
2025-12-15,111626.03527832031
2025-12-16,111322.85766601562
2025-12-17,110105.25244140625
2025-12-18,110931.65368652344
2025-12-19,111603.22283935547
2025-12-22,112294.3412475586
2025-12-23,112804.53204345703
2025-12-24,113198.9892578125
2025-12-26,113187.57806396484
2025-12-29,112786.59448242188
2025-12-30,112786.59448242188
2025-12-31,112786.59448242188
2026-01-02,112786.59448242188
2026-01-05,112786.59448242188
2026-01-06,112786.59448242188
2026-01-07,112786.59448242188
2026-01-08,112775.18328857422
2026-01-09,113518.462890625
2026-01-12,113696.12731933594
2026-01-13,113469.5648803711
2026-01-14,112913.72930908203
2026-01-15,113220.17010498047
2026-01-16,113125.62731933594
2026-01-20,110830.59448242188
2026-01-21,112105.25567626953
2026-01-22,112688.7885131836
2026-01-23,112729.5385131836
2026-01-26,113300.0385131836
2026-01-27,113749.92010498047
2026-01-28,113738.50891113281
2026-01-29,113738.50891113281
2026-01-30,113738.50891113281
2026-02-02,113738.50891113281
2026-02-03,112780.07806396484
2026-02-04,112235.65368652344
2026-02-05,110838.74249267578
2026-02-06,112957.74249267578
2026-02-09,113500.53527832031
2026-02-10,113202.24249267578
2026-02-11,113176.16687011719
2026-02-12,111433.69647216797
2026-02-13,111511.93328857422
2026-02-17,111691.22930908203
2026-02-18,112251.94970703125
2026-02-19,111956.92010498047
2026-02-20,112763.77209472656
2026-02-23,111616.25567626953
2026-02-24,112424.72930908203
2026-02-25,113370.1372680664
2026-02-26,112742.58129882812
2026-02-27,112203.05169677734
2026-03-02,112266.62408447266
2026-03-03,111280.47607421875
2026-03-04,112062.87408447266
2026-03-05,111440.212890625
2026-03-06,109984.62408447266
2026-03-09,110944.69647216797
2026-03-10,110767.02209472656
2026-03-11,110628.47607421875
2026-03-12,108954.462890625
2026-03-13,108339.94970703125
2026-03-16,109438.57806396484
