date,S0 Buy-Hold,S1 LR Continuous,S2 LR Discrete,S3 LR Threshold,S4 LR Aggressive
2020-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-01-03,992427.74,992427.74,992427.74,992427.74,992427.74
2020-01-06,996213.87,996213.87,996213.87,996213.87,996213.87
2020-01-07,993412.75,993412.75,993412.75,993412.75,993412.75
2020-01-08,998707.18,998707.18,998707.18,998707.18,998707.18
2020-01-09,1005479.11,1005479.11,1005479.11,1005479.11,1005479.11
2020-01-10,1002585.65,1002585.65,1002585.65,1002585.65,1002585.65
2020-01-13,1009480.72,1009480.72,1009480.72,1009480.72,1009480.72
2020-01-14,1007941.64,1007941.64,1007941.64,1007941.64,1008337.25
2020-01-15,1010219.47,1010219.47,1010219.47,1010219.47,1009445.77
2020-01-16,1018622.83,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-17,1021793.33,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-21,1019792.53,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-22,1019915.66,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-23,1021085.36,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-24,1012004.8,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-27,995782.93,1014378.65,1014378.65,1018622.83,1009445.77
2020-01-28,1006217.87,1014378.65,1014378.65,1029101.97,1009445.77
2020-01-29,1005386.77,1014378.65,1014378.65,1028267.35,1009445.77
2020-01-30,1008649.61,1014378.65,1014378.65,1031544.01,1009445.77
2020-01-31,990334.6,996220.69,1014378.65,1013151.43,1009445.77
2020-02-03,997691.38,1003514.39,1014378.65,1020539.37,1009445.77
2020-02-04,1012897.47,1010915.88,1014378.65,1035809.85,1009445.77
2020-02-05,1024594.45,1016609.33,1025926.69,1047556.37,1009445.77
2020-02-06,1028041.99,1018287.4,1029330.33,1051018.51,1009445.77
2020-02-07,1022562.87,1015620.46,1023920.98,1045516.19,1009445.77
2020-02-10,1030196.69,1019336.19,1031457.6,1053182.34,1009445.77
2020-02-11,1031982.02,1020205.19,1032299.18,1054975.23,1009445.77
2020-02-12,1038630.84,1023441.47,1035433.35,1061652.2,1009445.77
2020-02-13,1037522.7,1022902.09,1034910.99,1060539.37,1009445.77
2020-02-14,1039184.9,1023711.16,1035694.53,1062208.61,1009445.77
2020-02-18,1036506.91,1022407.66,1034432.15,1059519.28,1009445.77
2020-02-19,1041462.74,1024819.88,1036768.27,1064496.09,1009445.77
2020-02-20,1037184.1,1022737.28,1034751.38,1060199.34,1009445.77
2020-02-21,1026502.91,1017538.26,1029716.4,1049472.91,1009445.77
2020-02-24,992458.52,1000967.32,1013668.32,1015284.35,1009445.77
2020-02-25,962384.95,1000967.32,1013668.32,985083.42,1009445.77
2020-02-26,958845.08,1000967.32,1013668.32,981528.55,1009445.77
2020-02-27,915781.7,1000967.32,1013668.32,938282.8,1009445.77
2020-02-28,911934.0,1000967.32,1013668.32,934418.82,1009445.77
2020-03-02,951426.72,1000967.32,1013668.32,974078.78,1009445.77
2020-03-03,924185.06,1000967.32,1013668.32,946721.75,1009445.77
2020-03-04,963031.37,1000967.32,1013668.32,985732.57,1009445.77
2020-03-05,931018.56,1000967.32,1013668.32,953584.19,1009445.77
2020-03-06,915627.79,1000967.32,1013668.32,953584.19,1009445.77
2020-03-09,844122.26,1000967.32,1013668.32,953584.19,1009445.77
2020-03-10,887801.27,1052712.21,1013668.32,953584.19,1009445.77
2020-03-11,844522.42,1028385.19,1013668.32,953584.19,1009445.77
2020-03-12,763720.87,982966.67,917991.1,953584.19,1009445.77
2020-03-13,829008.53,1019664.83,995298.29,953584.19,1009445.77
2020-03-16,738295.32,968674.98,887884.67,953584.19,1009445.77
2020-03-17,778157.42,968674.98,914142.73,1007576.27,1009445.77
2020-03-18,738757.04,968674.98,888188.82,954209.58,1009445.77
2020-03-19,740326.9,968674.98,889222.92,956335.91,1009445.77
2020-03-20,704281.71,968674.98,889222.92,907513.73,1009445.77
2020-03-23,686274.51,968674.98,889222.92,883123.49,1009445.77
2020-03-24,748453.23,968674.98,889222.92,887328.91,1009445.77
2020-03-25,759657.71,968674.98,889222.92,887328.91,1009445.77
2020-03-26,804013.91,968674.98,889222.92,887328.91,1009445.77
2020-03-27,780065.87,968674.98,889222.92,887328.91,1009445.77
2020-03-30,805399.08,968674.98,889222.92,887328.91,1009445.77
2020-03-31,793394.28,968674.98,889222.92,887328.91,1009445.77
2020-04-01,757687.69,923670.13,889222.92,887328.91,1009445.77
2020-04-02,775171.61,945706.99,889222.92,887328.91,1009445.77
2020-04-03,763967.13,931584.78,889222.92,887328.91,994991.57
2020-04-06,815279.96,996259.85,889222.92,887328.91,1061187.02
2020-04-07,816111.06,997307.37,889222.92,887328.91,1062259.17
2020-04-08,843506.63,1031836.96,889222.92,887328.91,1097600.47
2020-04-09,856342.54,1048015.42,889222.92,887328.91,1114159.26
2020-04-13,848524.02,1038160.91,889222.92,887328.91,1104073.09
2020-04-14,873549.42,1069703.11,889222.92,887328.91,1136356.78
2020-04-15,854988.15,1046308.34,889222.92,887328.91,1112412.05
2020-04-16,859112.88,1051507.18,889222.92,887328.91,1115984.72
2020-04-17,882322.16,1080760.33,889222.92,887328.91,1136087.61
2020-04-20,866777.48,1061167.7,889222.92,887328.91,1122623.47
2020-04-21,840459.26,1027996.03,889222.92,887328.91,1099827.75
2020-04-22,859112.88,1051507.18,889222.92,887328.91,1115984.72
2020-04-23,859051.31,1051429.59,889222.92,887328.91,1115931.39
2020-04-24,871025.33,1066521.73,889222.92,887328.91,1126302.78
2020-04-27,883584.2,1082351.02,889222.92,887328.91,1137180.73
2020-04-28,879521.04,1077229.78,889222.92,887328.91,1133661.4
2020-04-29,902545.63,1106250.15,889222.92,887328.91,1153604.32
2020-04-30,894142.27,1095658.49,889222.92,887328.91,1150083.54
2020-05-01,870471.27,1065823.38,889222.92,887328.91,1140166.02
2020-05-04,872872.23,1068849.57,889222.92,887328.91,1141171.96
2020-05-05,880936.99,1079014.45,889222.92,887328.91,1144550.88
2020-05-06,874965.37,1071487.78,889222.92,887328.91,1142048.93
2020-05-07,885523.44,1084795.25,889222.92,887328.91,1146472.48
2020-05-08,900175.45,1103262.76,889222.92,887328.91,1146472.48
2020-05-11,900360.14,1103495.54,889222.92,887328.91,1146472.48
2020-05-12,882414.5,1080876.72,889222.92,887328.91,1146472.48
2020-05-13,866808.26,1061206.5,889222.92,887328.91,1146472.48
2020-05-14,877181.64,1074281.19,889222.92,887328.91,1146472.48
2020-05-15,881214.02,1079363.63,889222.92,887328.91,1146472.48
2020-05-18,908055.53,1113194.86,889222.92,887328.91,1176932.17
2020-05-19,898728.72,1101439.29,889222.92,887328.91,1170733.22
2020-05-20,913996.37,1120682.74,889222.92,887328.91,1173733.23
2020-05-21,907686.15,1117014.48,889222.92,887328.91,1173733.23
2020-05-22,909409.92,1118016.54,889222.92,887328.91,1173733.23
2020-05-26,920614.4,1124529.94,889222.92,887328.91,1173733.23
2020-05-27,934312.19,1132492.74,889222.92,887328.91,1173733.23
2020-05-28,932588.42,1131490.68,889222.92,887328.91,1173733.23
2020-05-29,936743.93,1133906.37,889222.92,887328.91,1173733.23
2020-06-01,940530.06,1136107.32,889222.92,887328.91,1173733.23
2020-06-02,948317.79,1136107.32,889222.92,887328.91,1173733.23
2020-06-03,960938.22,1136107.32,889222.92,887328.91,1173733.23
2020-06-04,958414.13,1136107.32,889222.92,887328.91,1173733.23
2020-06-05,982977.81,1136107.32,889222.92,887328.91,1173733.23
2020-06-08,994859.48,1136107.32,889222.92,887328.91,1173733.23
2020-06-09,987441.13,1136107.32,889222.92,887328.91,1173733.23
2020-06-10,981931.23,1136107.32,889222.92,887328.91,1173733.23
2020-06-11,925323.98,1136107.32,889222.92,887328.91,1173733.23
2020-06-12,936405.33,1148082.97,889222.92,887328.91,1173733.23
2020-06-15,945147.29,1157530.43,889222.92,887328.91,1183068.89
2020-06-16,963339.18,1177190.45,889222.92,887328.91,1202496.26
2020-06-17,959337.58,1172865.91,889222.92,887328.91,1200102.51
2020-06-18,959706.96,1173265.1,889222.92,887328.91,1200150.17
2020-06-19,950041.56,1169600.26,889222.92,887328.91,1200150.17
2020-06-22,956136.3,1171911.21,889222.92,887328.91,1200150.17
2020-06-23,960538.06,1171911.21,889222.92,887328.91,1200150.17
2020-06-24,936035.95,1171911.21,889222.92,887328.91,1200150.17
2020-06-25,946070.74,1171911.21,889222.92,887328.91,1200150.17
2020-06-26,923600.21,1171911.21,889222.92,887328.91,1200150.17
2020-06-29,937174.87,1171911.21,889222.92,887328.91,1200150.17
2020-06-30,949179.67,1171911.21,889222.92,887328.91,1200150.17
2020-07-01,955828.49,1178916.01,889222.92,887328.91,1200150.17
2020-07-02,961092.13,1184461.48,889222.92,887328.91,1200150.17
2020-07-06,975928.83,1200092.56,889222.92,887328.91,1200150.17
2020-07-07,965863.27,1199287.16,889222.92,887328.91,1200150.17
2020-07-08,973250.84,1199287.16,889222.92,887328.91,1200150.17
2020-07-09,967710.16,1199287.16,889222.92,887328.91,1200150.17
2020-07-10,977591.04,1199287.16,889222.92,887328.91,1200150.17
2020-07-13,969126.11,1199287.16,889222.92,887328.91,1200150.17
2020-07-14,981684.98,1199287.16,889222.92,887328.91,1200150.17
2020-07-15,990703.97,1199287.16,889222.92,887328.91,1200150.17
2020-07-16,987441.13,1199287.16,889222.92,887328.91,1200150.17
2020-07-17,990303.81,1199287.16,889222.92,887328.91,1200150.17
2020-07-20,998307.02,1207368.73,889222.92,887328.91,1200150.17
2020-07-21,1000430.94,1208008.5,889222.92,887328.91,1200150.17
2020-07-22,1006125.53,1208008.5,889222.92,887328.91,1200150.17
2020-07-23,994120.73,1208008.5,889222.92,887328.91,1200150.17
2020-07-24,987718.16,1208008.5,889222.92,887328.91,1200150.17
2020-07-27,994921.05,1208008.5,889222.92,887328.91,1200150.17
2020-07-28,988610.83,1208008.5,889222.92,887328.91,1200150.17
2020-07-29,1000769.54,1208008.5,889222.92,887328.91,1200150.17
2020-07-30,997198.88,1204440.59,889222.92,887328.91,1200150.17
2020-07-31,1005078.95,1212314.6,889222.92,887328.91,1200150.17
2020-08-03,1012066.37,1219296.64,889222.92,887328.91,1200150.17
2020-08-04,1015975.62,1220424.5,889222.92,887328.91,1200150.17
2020-08-05,1022285.84,1220424.5,889222.92,887328.91,1200150.17
2020-08-06,1029119.34,1220424.5,889222.92,887328.91,1200150.17
2020-08-07,1029858.1,1220424.5,889222.92,887328.91,1200150.17
2020-08-10,1032936.25,1220424.5,889222.92,887328.91,1200150.17
2020-08-11,1024409.76,1220424.5,889222.92,887328.91,1200150.17
2020-08-12,1038692.4,1220424.5,889222.92,887328.91,1200150.17
2020-08-13,1036814.73,1220424.5,889222.92,887328.91,1200150.17
2020-08-14,1036845.51,1220424.5,889222.92,887328.91,1200150.17
2020-08-17,1040139.13,1223601.08,889222.92,887328.91,1200150.17
2020-08-18,1042386.19,1225768.28,889222.92,887328.91,1200150.17
2020-08-19,1038045.99,1221582.32,889222.92,887328.91,1200150.17
2020-08-20,1041278.05,1224699.53,889222.92,887328.91,1200150.17
2020-08-21,1044971.83,1228262.05,889222.92,887328.91,1200150.17
2020-08-24,1055560.69,1238474.61,889222.92,887328.91,1200150.17
2020-08-25,1059254.47,1239452.95,889222.92,887328.91,1200150.17
2020-08-26,1069874.1,1239452.95,889222.92,887328.91,1200150.17
2020-08-27,1072213.5,1239452.95,889222.92,887328.91,1200150.17
2020-08-28,1079139.35,1239452.95,889222.92,887328.91,1200150.17
2020-08-31,1075230.09,1239452.95,889222.92,887328.91,1200150.17
2020-09-01,1085357.22,1239452.95,889222.92,887328.91,1200150.17
2020-09-02,1101055.81,1239452.95,889222.92,887328.91,1200150.17
2020-09-03,1063163.73,1239452.95,889222.92,887328.91,1200150.17
2020-09-04,1054483.33,1239452.95,889222.92,887328.91,1200150.17
2020-09-08,1025671.81,1212130.07,889222.92,887328.91,1200150.17
2020-09-09,1045926.06,1217275.17,889222.92,887328.91,1200150.17
2020-09-10,1027764.95,1212661.78,889222.92,887328.91,1200150.17
2020-09-11,1028288.24,1212794.71,889222.92,887328.91,1200150.17
2020-09-14,1041832.12,1212794.71,889222.92,887328.91,1200150.17
2020-09-15,1047095.76,1212794.71,889222.92,887328.91,1200150.17
2020-09-16,1042940.25,1212794.71,889222.92,887328.91,1200150.17
2020-09-17,1033767.35,1212794.71,889222.92,887328.91,1200150.17
2020-09-18,1017791.73,1212794.71,889222.92,887328.91,1200150.17
2020-09-21,1006464.12,1212794.71,889222.92,887328.91,1200150.17
2020-09-22,1016714.38,1212794.71,889222.92,887328.91,1200150.17
2020-09-23,993135.72,1212794.71,889222.92,887328.91,1200150.17
2020-09-24,995782.93,1212794.71,889222.92,887328.91,1200150.17
2020-09-25,1011881.68,1212794.71,889222.92,887328.91,1200150.17
2020-09-28,1028688.4,1212794.71,889222.92,887328.91,1200150.17
2020-09-29,1023086.16,1212794.71,889222.92,887328.91,1200150.17
