date,equity
2020-01-02,1000000.0
2020-01-03,992427.7403269
2020-01-06,996213.87016345
2020-01-07,993412.7497152708
2020-01-08,998707.1751777634
2020-01-09,1005479.1147228122
2020-01-10,1002585.6496444731
2020-01-13,1009480.7153630683
2020-01-14,1007941.638193739
2020-01-15,1010219.4724043463
2020-01-16,1018622.8337488843
2020-01-17,1021793.3327177025
2020-01-21,1019792.5323975745
2020-01-22,1019915.6585711207
2020-01-23,1021085.3572198111
2020-01-24,1012004.8019207682
2020-01-27,995861.9589471931
2020-01-28,1001079.4305512194
2020-01-29,1000331.9581819576
2020-01-30,1001955.0488185391
2020-01-31,983839.6664545822
2020-02-03,987572.0193231009
2020-02-04,995097.3473115752
2020-02-05,1006588.7772021241
2020-02-06,1009975.7249593384
2020-02-07,1004592.8972737655
2020-02-10,1012092.5673075974
2020-02-11,1013846.5223961548
2020-02-12,1020378.4930707826
2020-02-13,1019289.831291678
2020-02-14,1020922.823960335
2020-02-18,1018291.8913274988
2020-02-19,1023160.6287284943
2020-02-20,1018957.1846369515
2020-02-21,1008463.694710582
2020-02-24,975094.9679561541
2020-02-25,960398.6484918694
2020-02-26,958708.5849107383
2020-02-27,937330.4278279499
2020-02-28,937479.2104355416
2020-03-02,937553.6135474809
2020-03-03,924279.1439508557
2020-03-04,924352.4994384709
2020-03-05,909134.4760188956
2020-03-06,909278.7830785812
2020-03-09,909423.1130441492
2020-03-10,909567.4659192356
2020-03-11,909711.8417074768
2020-03-12,909856.2404125097
2020-03-13,910000.662037972
2020-03-16,910145.1065875018
2020-03-17,910289.5740647379
2020-03-18,910434.0644733196
2020-03-19,910578.5778168867
2020-03-20,910723.1140990799
2020-03-23,910867.67332354
2020-03-24,911012.2554939089
2020-03-25,911156.8606138285
2020-03-26,911301.4886869418
2020-03-27,911446.1397168922
2020-03-30,911590.8137073234
2020-03-31,911735.5106618801
2020-04-01,911880.2305842075
2020-04-02,912024.973477951
2020-04-03,912169.7393467571
2020-04-06,912198.6971162602
2020-04-07,913015.0502714424
2020-04-08,928367.5498191646
