date,SPY_买入持有,SSO_买入持有,UPRO_买入持有,策略C1_SSO,策略C2_UPRO
2020-01-02,1000000.0,1000000.0,1000000.0,1000000.0,700000.0
2020-01-03,992427.7403269,984855.4806538002,977283.2209807001,1000000.0,997728.32209807
2020-01-06,996213.87016345,992369.963710803,988468.2806420589,1000000.0,998864.1610490349
2020-01-07,993412.7497152708,986789.3391466154,980130.2556570361,1000000.0,998023.8249145811
2020-01-08,998707.1751777634,997307.5907088013,995801.1635961498,1000000.0,999612.152553329
2020-01-09,1005479.1147228122,1010832.4894578186,1016057.8678024511,500000.0,301643.7344168436
2020-01-10,1002585.6496444731,1005014.7485112987,1007286.1452027176,998561.1510791366,300949.3027980423
2020-01-13,1009480.7153630683,1018838.2911514713,1028068.3222797563,501989.8974437472,480100.36067484826
2020-01-14,1007941.638193739,1015731.6032687103,1023366.0735118963,501224.5522730752,241536.61464585835
2020-01-15,1010219.4724043463,1020322.4805716199,1030304.1485865536,502357.26312566974,241536.61464585835
2020-01-16,1018622.8337488843,1037297.2840206007,1056015.4468495229,506536.04775753873,241536.61464585835
2020-01-17,1021793.3327177025,1043754.5317091127,1065876.1011791641,508112.658809123,241536.61464585835
2020-01-21,1019792.5323975745,1039666.9254695531,1059614.74134395,507117.71008724946,241536.61464585835
2020-01-22,1019915.6585711207,1039917.9769456699,1059998.5438460966,507178.93770090316,241536.61464585835
2020-01-23,1021085.3572198111,1042303.2538892289,1063645.5479505956,507760.60003061395,0.0
2020-01-24,1012004.8019207682,1023764.7599848921,1035268.4133208991,503245.0635236492,237240.62397176397
2020-01-27,995782.9285560378,990944.002098708,985484.0850226864,495178.32542476663,195022.3268769965
2020-01-28,1006217.8717640903,1011712.4729927704,1016465.1457481289,247589.16271238332,69612.39881300568
2020-01-29,1005386.7700926525,1010041.1929431634,1013946.4490365258,494973.82521389343,69566.40083771244
2020-01-30,1008649.6136916305,1016597.0907113331,1023818.3175930632,248187.51518123457,110776.170111701
2020-01-31,990334.5953766123,979678.4341577904,968046.9645381432,243680.93646013975,53797.1875485232
2020-02-03,997691.3842460061,994233.6914085108,989620.6341857935,121840.46823006988,53797.1875485232
2020-02-04,1012897.4666789793,1024540.4570234561,1034869.8560747034,244583.51976109212,53797.1875485232
2020-02-05,1024594.4531658818,1048203.3375722262,1070722.0300224689,126554.39971101856,53797.1875485232
2020-02-06,1028041.9860251794,1055257.2805998106,1081530.2557656507,126554.39971101856,53797.1875485232
2020-02-07,1022562.8713023671,1044008.954595453,1064237.6886484919,126554.39971101856,53797.1875485232
2020-02-10,1030196.6940622403,1059596.8065364328,1088072.5122594032,126554.39971101856,0.0
2020-02-11,1031982.0235786622,1063269.3662818084,1093729.3969592103,126554.39971101856,53983.64845911328
2020-02-12,1038630.8369501648,1076970.1467576702,1114869.307751717,126554.39971101856,54679.2559319504
2020-02-13,1037522.7013882477,1074672.0657142657,1111300.8801173982,0.0,54562.579195921106
2020-02-14,1039184.9047311234,1078115.5055498185,1116642.0876940615,126959.90244551063,54737.407373490656
2020-02-18,1036506.9104564904,1072558.8675769016,1108009.2800848153,126305.54749807226,54455.28921937373
2020-02-19,1041462.7389417305,1082815.2734617277,1123902.3838261196,127513.35156347712,54976.021055819474
2020-02-20,1037184.1044109951,1073918.2277082738,1110050.4214789104,126465.6270338724,54524.305803306685
2020-02-21,1026502.9088558501,1051799.2412108844,1075755.6451394078,123860.87424676729,53401.29442988349
2020-02-24,992458.5218702867,982032.5409122616,968722.0230159654,115645.08158052496,49859.14307811121
2020-02-25,962384.9539815926,922517.263170727,880659.1159549952,115645.08158052496,49859.14307811121
2020-02-26,958845.0764921353,915730.7936191752,870941.3038646556,115645.08158052496,49859.14307811121
2020-02-27,915781.6972943023,833476.708208374,753594.8944803871,115645.08158052496,49859.14307811121
2020-02-28,911934.0043709791,826472.9376779014,744096.1184583997,115645.08158052496,49859.14307811121
2020-03-02,951426.7245359682,898056.3292286164,840768.8370146127,115645.08158052496,49859.14307811121
2020-03-03,924185.0586388402,846629.2464134286,768549.054353453,115645.08158052496,49859.14307811121
