date,S0 SPY Buy-Hold,S1 SSO Buy-Hold,S2 SSO+MA20,S3 SSO+MA50,S4 SPY/SSO/Cash(MA),S5 SSO Only MA200
2020-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-01-03,992427.74,984855.48,1000000.0,1000000.0,1000000.0,1000000.0
2020-01-06,996213.87,992369.96,1000000.0,1000000.0,1000000.0,1000000.0
2020-01-07,993412.75,986789.34,1000000.0,1000000.0,994376.47,994376.47
2020-01-08,998707.18,997307.59,1000000.0,1000000.0,994376.47,994376.47
2020-01-09,1005479.11,1010832.49,1000000.0,1000000.0,1007937.88,1007937.88
2020-01-10,1002585.65,1005014.75,1000000.0,1000000.0,1002104.43,1002104.43
2020-01-13,1009480.72,1018838.29,1000000.0,1000000.0,1002104.43,1002104.43
2020-01-14,1007941.64,1015731.6,1000000.0,1000000.0,999055.19,999055.19
2020-01-15,1010219.47,1020322.48,1000000.0,1000000.0,999055.19,999055.19
2020-01-16,1018622.83,1037297.28,1000000.0,1000000.0,1015691.89,1015691.89
2020-01-17,1021793.33,1043754.53,1000000.0,1000000.0,1022020.53,1022020.53
2020-01-21,1019792.53,1039666.93,1000000.0,1000000.0,1018014.33,1018014.33
2020-01-22,1019915.66,1039917.98,1000000.0,1000000.0,1018014.33,1018014.33
2020-01-23,1021085.36,1042303.25,1000000.0,1000000.0,1020308.05,1020308.05
2020-01-24,1012004.8,1023764.76,1000000.0,1000000.0,1002481.17,1002481.17
2020-01-27,995782.93,990944.0,1000000.0,1000000.0,1002481.17,1002481.17
2020-01-28,1006217.87,1011712.47,1000000.0,1000000.0,1002481.17,1002481.17
2020-01-29,1005386.77,1010041.19,998348.07,998348.07,1000829.24,1000829.24
2020-01-30,1008649.61,1016597.09,1004828.07,1004828.07,1000829.24,1000829.24
2020-01-31,990334.6,979678.43,968336.82,968336.82,964513.32,964513.32
2020-02-03,997691.38,994233.69,982723.57,982723.57,964513.32,964513.32
2020-02-04,1012897.47,1024540.46,1012679.48,1012679.48,994995.86,994995.86
2020-02-05,1024594.45,1048203.34,1036068.41,1036068.41,1018795.98,1018795.98
2020-02-06,1028041.99,1055257.28,1043040.69,1043040.69,1025890.83,1025890.83
2020-02-07,1022562.87,1044008.95,1031922.59,1031922.59,1014577.27,1014577.27
2020-02-10,1030196.69,1059596.81,1047329.98,1047329.98,1014577.27,1014577.27
2020-02-11,1031982.02,1063269.37,1050960.03,1050960.03,1018043.27,1018043.27
2020-02-12,1038630.84,1076970.15,1064502.19,1064502.19,1030973.45,1030973.45
2020-02-13,1037522.7,1074672.07,1062230.72,1062230.72,1028804.62,1028804.62
2020-02-14,1039184.9,1078115.51,1065634.29,1065634.29,1028804.62,1028804.62
2020-02-18,1036506.91,1072558.87,1060141.98,1060141.98,1023650.59,1023650.59
2020-02-19,1041462.74,1082815.27,1070279.65,1070279.65,1023650.59,1023650.59
2020-02-20,1037184.1,1073918.23,1061485.61,1061485.61,1015434.01,1015434.01
