date,regime_score,spy,sso,close,vix
2020-01-02,1.807,324.87,324.87,324.87,12.47
2020-01-03,1.807,322.41,319.95,322.41,14.02
2020-01-06,1.807,323.64,322.39,323.64,13.85
2020-01-07,1.807,322.73,320.58,322.73,13.79
2020-01-08,1.807,324.45,324.0,324.45,13.45
2020-01-09,1.807,326.65,328.39,326.65,12.54
2020-01-10,1.807,325.71,326.5,325.71,12.56
2020-01-13,1.807,327.95,330.99,327.95,12.32
2020-01-14,1.807,327.45,329.98,327.45,12.39
2020-01-15,1.807,328.19,331.47,328.19,12.42
2020-01-16,1.807,330.92,336.99,330.92,12.32
2020-01-17,1.807,331.95,339.08,331.95,12.1
2020-01-21,1.807,331.3,337.76,331.3,12.85
2020-01-22,1.807,331.34,337.84,331.34,12.91
2020-01-23,1.807,331.72,338.61,331.72,12.98
2020-01-24,1.807,328.77,332.59,328.77,14.56
2020-01-27,1.807,323.5,321.93,323.5,18.23
2020-01-28,1.807,326.89,328.68,326.89,16.28
2020-01-29,1.807,326.62,328.13,326.62,16.39
2020-01-30,1.807,327.68,330.26,327.68,15.49
2020-01-31,1.807,321.73,318.27,321.73,18.84
2020-02-03,3.106,324.12,323.0,324.12,17.97
2020-02-04,7.835,329.06,332.84,329.06,16.05
2020-02-05,8.128,332.86,340.53,332.86,15.15
2020-02-06,9.087,333.98,342.82,333.98,14.96
2020-02-07,7.84,332.2,339.17,332.2,15.47
2020-02-10,8.051,334.68,344.23,334.68,15.04
2020-02-11,7.946,335.26,345.42,335.26,15.18
2020-02-12,9.109,337.42,349.88,337.42,13.74
2020-02-13,9.041,337.06,349.13,337.06,14.15
2020-02-14,8.904,337.6,350.25,337.6,13.68
2020-02-18,8.788,336.73,348.44,336.73,14.83
2020-02-19,8.925,338.34,351.77,338.34,14.38
2020-02-20,7.839,336.95,348.88,336.95,15.56
2020-02-21,7.606,333.48,341.7,333.48,17.08
2020-02-24,1.614,322.42,319.03,322.42,25.03
2020-02-25,0.329,312.65,299.7,312.65,27.85
2020-02-26,0.0,311.5,297.49,311.5,27.56
2020-02-27,0.0,297.51,270.77,297.51,39.16
2020-02-28,0.0,296.26,268.5,296.26,40.11
2020-03-02,0.0,309.09,291.75,309.09,33.42
2020-03-03,0.0,300.24,275.04,300.24,36.82
2020-03-04,0.0,312.86,298.17,312.86,31.99
2020-03-05,0.0,302.46,278.34,302.46,39.62
2020-03-06,0.0,297.46,269.14,297.46,41.94
2020-03-09,0.0,274.23,227.1,274.23,54.46
2020-03-10,0.0,288.42,250.61,288.42,47.3
2020-03-11,0.0,274.36,226.17,274.36,53.9
2020-03-12,0.0,248.11,182.89,248.11,75.47
2020-03-13,0.0,269.32,214.16,269.32,57.83
2020-03-16,0.0,239.85,167.29,239.85,82.69
2020-03-17,0.0,252.8,185.36,252.8,75.91
2020-03-18,0.0,240.0,166.59,240.0,76.45
2020-03-19,0.0,240.51,167.3,240.51,72.0
2020-03-20,0.0,228.8,151.01,228.8,66.04
2020-03-23,0.0,222.95,143.28,222.95,61.59
2020-03-24,0.0,243.15,169.25,243.15,61.67
2020-03-25,0.0,246.79,174.32,246.79,63.95
2020-03-26,0.0,261.2,194.67,261.2,61.0
2020-03-27,0.0,253.42,183.08,253.42,65.54
2020-03-30,0.0,261.65,194.97,261.65,57.08
2020-03-31,0.0,257.75,189.15,257.75,53.54
2020-04-01,0.0,246.15,172.13,246.15,57.06
2020-04-02,0.0,251.83,180.07,251.83,50.91
2020-04-03,0.0,248.19,174.87,248.19,46.8
2020-04-06,0.0,264.86,198.36,264.86,45.24
2020-04-07,0.0,265.13,198.76,265.13,46.7
2020-04-08,0.0,274.03,212.11,274.03,43.35
2020-04-09,0.0,278.2,218.56,278.2,41.67
2020-04-13,0.0,275.66,214.57,275.66,41.17
2020-04-14,0.0,283.79,227.23,283.79,37.76
2020-04-15,0.0,277.76,217.57,277.76,40.84
2020-04-16,0.0,279.1,219.67,279.1,40.11
2020-04-17,0.0,286.64,231.54,286.64,38.15
2020-04-20,0.0,281.59,223.38,281.59,43.83
2020-04-21,0.0,273.04,209.82,273.04,45.41
2020-04-22,0.0,279.1,219.13,279.1,41.98
2020-04-23,0.0,279.08,219.1,279.08,41.38
2020-04-24,0.0,282.97,225.21,282.97,35.93
2020-04-27,1.0,287.05,231.7,287.05,33.29
2020-04-28,0.841,285.73,229.57,285.73,33.57
2020-04-29,1.0,293.21,241.59,293.21,31.23
2020-04-30,1.0,290.48,237.09,290.48,34.15
2020-05-01,1.0,282.79,224.54,282.79,37.19
2020-05-04,1.0,283.57,225.77,283.57,35.97
2020-05-05,1.611,286.19,229.95,286.19,33.61
2020-05-06,1.942,284.25,226.83,284.25,34.12
2020-05-07,1.496,287.68,232.3,287.68,31.44
