date,close,log_ret,ema5_slope,ema20_slope,ema50_slope,pos_ema5,pos_ema20,pos_ema50,golden_cross,rv,atr_pct,atr,obv_chg,vol_chg,obv_momentum,ad_ratio,market_breadth,vix_proxy,momentum,vol_percentile
2020-01-02,296.8882141113281,0.0,0,0,0,1,1,1,0,0,0,0.0,0,0,-1,0,1,0,1,2
2020-01-03,294.6400451660156,-0.007601259060093568,0,0,0,1,1,1,0,0,0,0.0,0,0,-1,0,1,0,1,2
2020-01-06,295.76409912109375,0.003807748722918447,0,0,0,1,1,1,0,0,0,0.0,0,0,-1,0,1,0,1,2
2020-01-07,294.93243408203125,-0.0028158810551515145,0,0,0,1,1,1,0,0,0,0.0,0,0,-1,0,1,0,1,2
2020-01-08,296.50433349609375,0.005315540735342239,0,0,0,2,1,1,0,0,0,0.0,0,0,-1,0,1,0,1,2
2020-01-09,298.51483154296875,0.006757784677263956,0,0,0,3,2,1,0,0,0,0.0,0,0,-1,1,1,0,2,2
2020-01-10,297.6558837890625,-0.002881551629953627,0,0,0,2,1,1,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-13,299.702880859375,0.006853519873997627,0,0,0,3,2,1,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-14,299.2459716796875,-0.0015257037938409823,0,0,0,2,2,1,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-15,299.92230224609375,0.00225756563918722,0,0,0,2,2,1,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-16,302.41705322265625,0.0082835870485658,0,0,0,3,3,2,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-17,303.3583679199219,0.0031078033939477834,0,0,0,3,3,2,0,0,0,0.0,0,0,-1,2,1,0,3,2
2020-01-21,302.7643127441406,-0.00196018193986891,0,0,0,2,2,2,0,0,0,0.0,0,0,-1,1,1,0,3,2
2020-01-22,302.80096435546875,0.00012104925020839374,0,0,0,2,2,2,0,0,4,26.967289515904017,0,0,-1,2,1,0,3,2
2020-01-23,303.14813232421875,0.001145865250521183,0,0,0,2,2,2,0,0,4,28.927422659737722,0,0,-1,2,1,0,3,2
2020-01-24,300.4523010253906,-0.008932562254856613,0,0,0,1,1,1,0,0,4,29.032261439732142,0,0,-1,1,1,0,1,2
2020-01-27,295.63616943359375,-0.0161594683756201,0,0,0,0,0,1,0,0,4,29.676398141043528,0,0,-1,0,1,0,0,2
2020-01-28,298.73419189453125,0.010424646713440566,0,0,0,1,1,1,0,0,4,29.616845267159597,0,0,-1,1,1,0,0,2
2020-01-29,298.48748779296875,-0.0008261726725100615,0,0,0,1,1,1,0,0,4,29.73291233607701,0,0,-1,0,1,0,0,2
2020-01-30,299.4561462402344,0.0032399685839763492,0,0,0,1,1,1,0,0,4,29.744212559291295,0,0,-1,0,1,0,1,4
2020-01-31,294.0187072753906,-0.018324588093793892,0,0,0,0,0,0,0,1,4,30.08829607282366,0,0,-1,0,0,1,0,4
2020-02-03,296.20281982421875,0.007401026286326662,0,0,0,1,1,1,0,1,4,30.2813720703125,0,0,-1,1,1,1,2,4
2020-02-04,300.7172546386719,0.015126048130955638,0,0,0,4,2,1,0,2,4,30.481597900390625,0,0,-1,1,1,2,2,4
2020-02-05,304.19000244140625,0.011482044280822556,0,0,0,4,3,2,0,2,4,30.571245465959823,0,0,-1,2,3,2,3,4
