date,equity,position
2025-12-24,10000.0,0
2025-12-26,10000.0,0
2025-12-29,10000.0,0
2025-12-30,10000.0,0
2025-12-31,10000.0,1
2026-01-02,10016.25,1
2026-01-05,10075.400000000001,1
2026-01-06,10128.57,1
2026-01-07,10099.580000000002,1
2026-01-08,10098.67,1
2026-01-09,10157.95,1
2026-01-12,10172.12,1
2026-01-13,10154.050000000001,1
2026-01-14,10109.720000000001,1
2026-01-15,10134.160000000002,1
2026-01-16,10126.62,0
2026-01-20,10126.62,1
2026-01-21,10236.1,1
2026-01-22,10286.220000000001,1
2026-01-23,10289.720000000001,1
2026-01-26,10338.720000000001,1
2026-01-27,10377.36,1
2026-01-28,10376.38,1
2026-01-29,10357.06,1
2026-01-30,10328.08,1
2026-02-02,10376.24,1
2026-02-03,10293.92,1
2026-02-04,10247.16,1
2026-02-05,10127.18,1
2026-02-06,10309.18,1
2026-02-09,10355.800000000001,1
2026-02-10,10330.18,1
2026-02-11,10327.94,0
2026-02-12,10327.94,1
2026-02-13,10334.660000000002,1
2026-02-17,10350.060000000001,1
2026-02-18,10398.220000000001,1
2026-02-19,10372.880000000003,1
2026-02-20,10442.18,1
2026-02-23,10343.62,1
2026-02-24,10413.060000000001,1
2026-02-25,10494.260000000002,1
2026-02-26,10440.36,1
2026-02-27,10394.020000000002,1
2026-03-02,10399.480000000001,1
2026-03-03,10314.780000000002,1
2026-03-04,10381.980000000001,1
2026-03-05,10328.500000000002,1
2026-03-06,10203.480000000001,1
2026-03-09,10285.94,1
2026-03-10,10270.68,1
2026-03-11,10258.780000000002,0
2026-03-12,10258.780000000002,1
2026-03-13,10206.000000000002,1
2026-03-16,10300.360000000002,1
2026-03-17,10325.000000000002,1
2026-03-18,10193.960000000001,1
2026-03-19,10171.140000000001,0
2026-03-20,10171.140000000001,1
2026-03-23,10266.48,1
2026-03-24,10235.679999999998,1
2026-03-25,10286.640000000001,0
2026-03-26,10286.640000000001,0
2026-03-27,10286.640000000001,1
2026-03-30,10254.840000000002,1
2026-03-31,10530.390000000001,1
2026-04-01,10603.890000000001,1
2026-04-02,10612.740000000002,1
2026-04-06,10659.24,1
2026-04-07,10663.590000000002,1
2026-04-08,10915.44,1
2026-04-09,10973.94,1
2026-04-10,10967.190000000002,1
2026-04-13,11066.79,1
2026-04-14,11192.190000000002,1
2026-04-15,11274.390000000001,1
2026-04-16,11300.19,1
2026-04-17,11427.390000000001,1
2026-04-20,11406.090000000002,1
2026-04-21,11336.490000000002,1
2026-04-22,11443.440000000002,1
2026-04-23,11402.04,1
2026-04-24,11484.390000000001,1
2026-04-27,11502.84,1
2026-04-28,11450.640000000001,1
2026-04-29,11448.990000000002,1
2026-04-30,11555.19,1
2026-05-01,11585.04,1
2026-05-04,11545.44,1
2026-05-05,11631.84,1
2026-05-06,11782.740000000002,1
2026-05-07,11748.990000000002,1
2026-05-08,11839.59,1
2026-05-11,11864.79,1
2026-05-12,11847.99,1
2026-05-13,11909.94,1
2026-05-14,11997.84,1
2026-05-15,11862.84,1
2026-05-18,11855.04,1
2026-05-19,11781.240000000002,1
2026-05-20,11894.04,1
2026-05-21,11916.090000000002,1
2026-05-22,11959.890000000001,1
2026-05-26,12034.140000000001,1
2026-05-27,12032.190000000002,1
