date,action,price,shares,amount,cash_after,reason,return
2025-12-31,BUY,681.92,13,8864.96,1135.0400000000009,signal_entry,
2026-01-16,SELL,691.66,13,8991.58,10126.62,,-0.020356822716363427
2026-01-20,BUY,677.58,14,9486.12,640.5,signal_entry,
2026-02-11,SELL,691.96,14,9687.44,10327.94,,-0.015448869876871574
2026-02-12,BUY,681.27,14,9537.779999999999,790.1600000000017,signal_entry,
2026-03-11,SELL,676.33,14,9468.62,10258.780000000002,,-0.015184894947732756
2026-03-12,BUY,666.06,14,9324.84,933.9400000000023,signal_entry,
2026-03-19,SELL,659.8,14,9237.199999999999,10171.140000000001,,-0.017020309184601252
2026-03-20,BUY,648.57,14,9079.980000000001,1091.1599999999999,signal_entry,
2026-03-25,SELL,656.82,14,9195.480000000001,10286.640000000001,,-0.017858774093358936
2026-03-27,BUY,634.09,15,9511.35,775.2900000000009,signal_entry,
