atr_mult,atr_trailing,beat_qqq,beat_spy,desc,excess_vs_qqq,excess_vs_spy,max_pos,min_hold,return_pct,risk_frac,strategy,target_mult,win_rate
1.5,4.0,1,1,atr_trail=4.0 baseline (极端离群值),461.8,477.7,5,5,507.4,0.2,grid_A,3.0,50.0
1.5,2.5,1,1,紧跟踪+略小仓位,89.1,105.0,5,5,134.7,0.15,grid_B,3.0,64.0
1.5,4.0,1,1,小仓位多分散（降低黑天鹅）,19.6,35.5,8,5,65.2,0.1,small_pos,3.0,52.0
1.0,2.5,1,1,紧止损+紧跟踪,3.2,19.1,5,5,48.8,0.2,grid_C,3.0,56.0
1.5,5.0,0,1,长目标让利润奔跑（趋势跟踪）,-6.1,9.8,5,8,39.5,0.2,long_target,5.0,41.0
1.5,2.0,0,0,紧跟踪止盈（防止回撤吞噬）,-23.2,-7.3,5,5,22.4,0.2,aggressive_trail,3.0,58.0
0.75,3.0,0,0,紧止损守住本金,-24.0,-8.1,5,5,21.6,0.2,tight_stop,3.0,53.0
2.0,6.0,0,0,动量模式：长持仓+宽跟踪+大目标,-25.4,-9.5,5,12,20.2,0.25,momentum,6.0,43.0
0.75,2.0,0,0,激进组合：紧止损+紧跟踪+小仓位,-40.8,-24.9,5,5,4.8,0.1,combined,2.5,57.0
1.5,4.0,0,0,短目标早出场（强势市场落袋为安）,-41.4,-25.5,5,5,4.2,0.2,short_target,2.0,60.0
1.5,4.0,0,0,当前参数（基准）,-43.8,-27.9,5,5,1.8,0.2,baseline,3.0,53.0
1.5,4.0,0,0,大仓位少集中（牛市中子弹用在刀刃上）,-70.1,-54.2,3,5,-24.5,0.35,large_pos,3.0,53.0
